熱画像データ, AVIO_IR_20211105_1649.SVX
測定日時, '2021/11/05,レンジ, 1
測定時間, 17:01:55, 放射率, 0.96
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"72,138",23.85
2,"73,138",24.08
3,"74,138",24.16
4,"75,138",24.14
5,"76,138",23.97
6,"77,138",23.86
7,"78,138",24.08
8,"79,138",23.94
9,"80,138",24.10
10,"81,138",24.30
11,"82,138",24.01
12,"83,138",24.11
13,"84,138",23.77
14,"85,138",24.05
15,"86,138",23.87
16,"87,138",24.11
17,"88,138",24.06
18,"89,138",24.15
19,"90,138",24.15
20,"91,138",24.10
21,"92,138",24.08
22,"93,138",24.21
23,"94,138",24.00
24,"95,138",23.97
25,"96,138",24.14
26,"97,138",24.08
27,"98,138",24.21
28,"99,138",23.98
29,"100,138",24.36
30,"101,138",24.22
31,"102,138",24.16
32,"103,138",24.16
33,"104,138",24.19
34,"105,138",24.28
35,"106,138",24.14
36,"107,138",24.17
37,"108,138",24.27
38,"109,138",24.19
39,"110,137",24.27
40,"111,137",24.18
41,"112,137",24.01
42,"113,137",24.32
43,"114,137",24.21
44,"115,137",24.11
45,"116,137",24.14
46,"117,137",24.33
47,"118,137",24.30
48,"119,137",24.18
49,"120,137",24.17
50,"121,137",24.30
51,"122,137",24.48
52,"123,137",24.40
53,"124,137",24.25
54,"125,137",24.30
55,"126,137",24.29
56,"127,137",24.37
57,"128,137",24.37
58,"129,137",24.33
59,"130,137",24.33
60,"131,137",24.29
61,"132,137",24.29
62,"133,137",24.47
63,"134,137",24.38
64,"135,137",24.50
65,"136,137",24.98
66,"137,137",24.61
67,"138,137",24.43
68,"139,137",24.48
69,"140,137",24.50
70,"141,137",24.56
71,"142,137",24.56
72,"143,137",24.45
73,"144,137",24.69
74,"145,137",24.42
75,"146,137",24.51
76,"147,136",24.69
77,"148,136",24.52
78,"149,136",24.52
79,"150,136",24.49
80,"151,136",24.48
81,"152,136",24.67
82,"153,136",24.53
83,"154,136",24.53
84,"155,136",24.51
85,"156,136",24.67
86,"157,136",24.64
87,"158,136",24.56
88,"159,136",24.55
89,"160,136",24.59
90,"161,136",24.62
91,"162,136",24.55
92,"163,136",24.50
93,"164,136",24.64
94,"165,136",24.59
95,"166,136",24.60
96,"167,136",24.48
97,"168,136",24.56
98,"169,136",24.77
99,"170,136",24.52
100,"171,136",24.59
101,"172,136",24.61
102,"173,136",24.60
103,"174,136",24.60
104,"175,136",24.69
105,"176,136",24.60
106,"177,136",24.64
107,"178,136",24.65
108,"179,136",24.66
109,"180,136",24.69
110,"181,136",24.82
111,"182,136",24.49
112,"183,136",24.70
113,"184,135",24.67
114,"185,135",24.69
115,"186,135",24.84
116,"187,135",24.65
117,"188,135",24.70
118,"189,135",24.70
119,"190,135",24.60
120,"191,135",24.69
121,"192,135",24.74
122,"193,135",24.64
123,"194,135",24.59
124,"195,135",24.75
125,"196,135",24.72
126,"197,135",24.77
127,"198,135",24.81
128,"199,135",24.76
129,"200,135",24.73
130,"201,135",24.73
131,"202,135",24.70
132,"203,135",24.59
133,"204,135",24.72
134,"205,135",24.65
135,"206,135",24.65
136,"207,135",24.74
137,"208,135",24.82
138,"209,135",24.78
139,"210,135",24.50
140,"211,135",24.89
141,"212,135",24.82
142,"213,135",24.69
143,"214,135",24.74
144,"215,135",24.62
145,"216,135",24.50
146,"217,135",24.69
147,"218,135",24.70
148,"219,135",24.76
149,"220,135",24.77
150,"221,134",24.81
151,"222,134",24.70
152,"223,134",24.70
153,"224,134",24.64
154,"225,134",24.70
155,"226,134",24.65
156,"227,134",24.70
157,"228,134",24.76
158,"229,134",24.82
159,"230,134",24.78
160,"231,134",24.78
161,"232,134",24.73
162,"233,134",24.69
163,"234,134",24.82
164,"235,134",24.60
165,"236,134",24.82
166,"237,134",24.69
167,"238,134",24.69
168,"239,134",24.73
169,"240,134",24.55
170,"241,134",24.67
171,"242,134",24.73
172,"243,134",24.73
173,"244,134",24.69
174,"245,134",24.83
