熱画像データ, AVIO_IR_20211105_1649.SVX
測定日時, '2021/11/05,レンジ, 1
測定時間, 16:53:50, 放射率, 0.96
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"72,138",29.56
2,"73,138",29.66
3,"74,138",29.69
4,"75,138",29.84
5,"76,138",29.80
6,"77,138",29.51
7,"78,138",29.82
8,"79,138",29.84
9,"80,138",29.98
10,"81,138",29.94
11,"82,138",29.72
12,"83,138",29.69
13,"84,138",29.52
14,"85,138",29.68
15,"86,138",29.75
16,"87,138",29.80
17,"88,138",29.86
18,"89,138",30.02
19,"90,138",30.18
20,"91,138",30.22
21,"92,138",30.11
22,"93,138",30.19
23,"94,138",30.15
24,"95,138",30.24
25,"96,138",30.39
26,"97,138",30.29
27,"98,138",30.40
28,"99,138",30.32
29,"100,138",30.45
30,"101,138",30.52
31,"102,138",30.53
32,"103,138",30.55
33,"104,138",30.54
34,"105,138",30.63
35,"106,138",30.77
36,"107,138",30.56
37,"108,138",30.85
38,"109,138",30.57
39,"110,137",30.85
40,"111,137",30.79
41,"112,137",30.68
42,"113,137",30.67
43,"114,137",30.74
44,"115,137",30.90
45,"116,137",30.84
46,"117,137",30.84
47,"118,137",30.86
48,"119,137",30.84
49,"120,137",30.74
50,"121,137",31.10
51,"122,137",31.07
52,"123,137",31.07
53,"124,137",31.11
54,"125,137",31.11
55,"126,137",31.11
56,"127,137",31.10
57,"128,137",31.12
58,"129,137",31.20
59,"130,137",31.30
60,"131,137",31.20
61,"132,137",31.34
62,"133,137",31.38
63,"134,137",31.44
64,"135,137",31.40
65,"136,137",31.64
66,"137,137",31.71
67,"138,137",31.67
68,"139,137",31.61
69,"140,137",31.54
70,"141,137",31.78
71,"142,137",31.77
72,"143,137",31.77
73,"144,137",32.03
74,"145,137",31.88
75,"146,137",31.65
76,"147,136",31.94
77,"148,136",32.05
78,"149,136",32.02
79,"150,136",32.08
80,"151,136",32.06
81,"152,136",32.33
82,"153,136",32.03
83,"154,136",32.05
84,"155,136",32.14
85,"156,136",32.14
86,"157,136",32.11
87,"158,136",32.23
88,"159,136",32.20
89,"160,136",32.11
90,"161,136",32.34
91,"162,136",32.28
92,"163,136",32.23
93,"164,136",32.30
94,"165,136",32.39
95,"166,136",32.45
96,"167,136",32.30
97,"168,136",32.35
98,"169,136",32.36
99,"170,136",32.39
100,"171,136",32.41
101,"172,136",32.39
102,"173,136",32.23
103,"174,136",32.52
104,"175,136",32.42
105,"176,136",32.46
106,"177,136",32.45
107,"178,136",32.46
108,"179,136",32.49
109,"180,136",32.49
110,"181,136",32.52
111,"182,136",32.49
112,"183,136",32.44
113,"184,135",32.33
114,"185,135",32.49
115,"186,135",32.60
116,"187,135",32.51
117,"188,135",32.51
118,"189,135",32.52
119,"190,135",32.52
120,"191,135",32.55
121,"192,135",32.54
122,"193,135",32.46
123,"194,135",32.44
124,"195,135",32.52
125,"196,135",32.71
126,"197,135",32.51
127,"198,135",32.63
128,"199,135",32.57
129,"200,135",32.39
130,"201,135",32.63
131,"202,135",32.51
132,"203,135",32.45
133,"204,135",32.46
134,"205,135",32.39
135,"206,135",32.55
136,"207,135",32.55
137,"208,135",32.55
138,"209,135",32.58
139,"210,135",32.54
140,"211,135",32.45
141,"212,135",32.67
142,"213,135",32.60
143,"214,135",32.68
144,"215,135",32.49
145,"216,135",32.36
146,"217,135",32.61
147,"218,135",32.73
148,"219,135",32.61
149,"220,135",32.58
150,"221,134",32.57
151,"222,134",32.52
152,"223,134",32.52
153,"224,134",32.52
154,"225,134",32.68
155,"226,134",32.57
156,"227,134",32.39
157,"228,134",32.68
158,"229,134",32.69
159,"230,134",32.61
160,"231,134",32.52
161,"232,134",32.65
162,"233,134",32.67
163,"234,134",32.76
164,"235,134",32.52
165,"236,134",32.77
166,"237,134",32.49
167,"238,134",32.58
168,"239,134",32.60
169,"240,134",32.71
170,"241,134",32.42
171,"242,134",32.55
172,"243,134",32.67
173,"244,134",32.60
174,"245,134",32.22
175,"246,134",32.67
176,"247,134",32.71
177,"248,134",32.63
178,"249,134",32.73
179,"250,134",32.76
180,"251,134",32.77
181,"252,134",32.60
182,"253,134",32.77
183,"254,134",32.60
184,"255,134",32.60
185,"256,134",32.61
186,"257,134",32.63
187,"258,134",32.66
188,"259,133",32.66
189,"260,133",32.79
190,"261,133",32.58
191,"262,133",32.77
192,"263,133",32.57
