熱画像データ, AVIO_IR_20211105_1649.SVX
測定日時, '2021/11/05,レンジ, 1
測定時間, 16:50:30, 放射率, 0.96
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"72,138",38.32
2,"73,138",38.48
3,"74,138",38.24
4,"75,138",38.33
5,"76,138",38.32
6,"77,138",38.32
7,"78,138",38.82
8,"79,138",38.69
9,"80,138",38.97
10,"81,138",38.77
11,"82,138",38.58
12,"83,138",38.33
13,"84,138",38.20
14,"85,138",38.55
15,"86,138",38.48
16,"87,138",38.23
17,"88,138",38.63
18,"89,138",38.85
19,"90,138",39.24
20,"91,138",39.31
21,"92,138",39.07
22,"93,138",39.21
23,"94,138",39.43
24,"95,138",39.54
25,"96,138",39.66
26,"97,138",39.53
27,"98,138",39.81
28,"99,138",39.59
29,"100,138",39.78
30,"101,138",39.97
31,"102,138",40.14
32,"103,138",40.05
33,"104,138",40.19
34,"105,138",40.27
35,"106,138",40.31
36,"107,138",40.00
37,"108,138",40.24
38,"109,138",40.19
39,"110,137",40.25
40,"111,137",40.45
41,"112,137",40.38
42,"113,137",40.30
43,"114,137",40.45
44,"115,137",40.46
45,"116,137",40.48
46,"117,137",40.42
47,"118,137",40.48
48,"119,137",40.49
49,"120,137",40.52
50,"121,137",40.66
51,"122,137",40.79
52,"123,137",40.96
53,"124,137",40.92
54,"125,137",40.94
55,"126,137",41.05
56,"127,137",41.00
57,"128,137",40.79
58,"129,137",40.81
59,"130,137",41.08
60,"131,137",40.88
61,"132,137",41.09
62,"133,137",41.14
63,"134,137",41.30
64,"135,137",41.32
65,"136,137",41.67
66,"137,137",41.71
67,"138,137",41.67
68,"139,137",41.77
69,"140,137",41.72
70,"141,137",41.82
71,"142,137",41.89
72,"143,137",41.71
73,"144,137",41.98
74,"145,137",41.97
75,"146,137",42.13
76,"147,136",42.16
77,"148,136",42.19
78,"149,136",42.19
79,"150,136",42.29
80,"151,136",42.25
81,"152,136",42.29
82,"153,136",42.20
83,"154,136",42.37
84,"155,136",42.34
85,"156,136",42.35
86,"157,136",42.50
87,"158,136",42.46
88,"159,136",42.31
89,"160,136",42.46
90,"161,136",42.35
91,"162,136",42.44
92,"163,136",42.44
93,"164,136",42.41
94,"165,136",42.54
95,"166,136",42.58
96,"167,136",42.33
97,"168,136",42.37
98,"169,136",42.54
99,"170,136",42.48
100,"171,136",42.49
101,"172,136",42.52
102,"173,136",42.50
103,"174,136",42.49
104,"175,136",42.46
105,"176,136",42.49
106,"177,136",42.45
107,"178,136",42.45
108,"179,136",42.45
109,"180,136",42.47
110,"181,136",42.47
111,"182,136",42.47
112,"183,136",42.47
113,"184,135",42.47
114,"185,135",42.41
115,"186,135",42.47
116,"187,135",42.38
117,"188,135",42.47
118,"189,135",42.36
119,"190,135",42.35
120,"191,135",42.34
121,"192,135",42.27
122,"193,135",42.25
123,"194,135",42.25
124,"195,135",42.38
125,"196,135",42.23
126,"197,135",42.22
127,"198,135",42.47
128,"199,135",42.38
129,"200,135",42.18
130,"201,135",42.29
131,"202,135",42.20
132,"203,135",42.16
133,"204,135",42.19
134,"205,135",42.18
135,"206,135",42.18
136,"207,135",42.10
137,"208,135",42.11
138,"209,135",42.07
139,"210,135",41.91
140,"211,135",42.01
141,"212,135",42.00
142,"213,135",42.04
143,"214,135",42.16
144,"215,135",41.94
145,"216,135",41.94
146,"217,135",41.94
147,"218,135",41.94
148,"219,135",41.94
149,"220,135",41.92
150,"221,134",41.96
151,"222,134",41.91
152,"223,134",41.89
153,"224,134",41.87
154,"225,134",41.88
155,"226,134",41.64
156,"227,134",41.90
157,"228,134",41.83
158,"229,134",41.77
159,"230,134",41.77
160,"231,134",41.77
161,"232,134",41.71
162,"233,134",41.76
163,"234,134",41.72
164,"235,134",41.72
165,"236,134",41.90
166,"237,134",41.58
167,"238,134",41.61
168,"239,134",41.68
169,"240,134",41.60
170,"241,134",41.56
171,"242,134",41.67
172,"243,134",41.67
173,"244,134",41.69
174,"245,134",41.69
175,"246,134",41.66
176,"247,134",41.65
177,"248,134",41.61
178,"249,134",41.61
179,"250,134",41.61
180,"251,134",41.69
181,"252,134",41.75
182,"253,134",41.68
183,"254,134",41.60
184,"255,134",41.59
185,"256,134",41.58
186,"257,134",41.52
187,"258,134",41.52
188,"259,133",41.61
189,"260,133",41.61
190,"261,133",41.42
191,"262,133",41.69
192,"263,133",41.47
193,"264,133",41.75
194,"265,133",41.55
195,"266,133",41.55
196,"267,133",41.64
197,"268,133",41.60
198,"269,133",41.55
199,"270,133",41.71
200,"271,133",41.61
201,"272,133",41.38
202,"273,133",41.40
203,"274,133",41.56
204,"275,133",41.52
205,"276,133",41.52
206,"277,133",41.52
207,"278,133",41.52
208,"279,133",41.44
209,"280,133",41.52
210,"281,133",41.68
211,"282,133",41.52
212,"283,133",41.42
213,"284,133",41.43
214,"285,133",41.58
215,"286,133",41.52
216,"287,133",41.52
217,"288,133",41.53
218,"289,133",41.49
219,"290,133",41.49
220,"291,133",41.66
221,"292,133",40.92
222,"293,133",41.61
223,"294,133",41.56
224,"295,133",41.47
225,"296,132",41.60
226,"297,132",41.52
227,"298,132",41.55
228,"299,132",41.45
229,"300,132",41.61
230,"301,132",41.57
231,"302,132",41.58
232,"303,132",41.60
233,"304,132",41.60
234,"305,132",41.52
235,"306,132",41.64
236,"307,132",41.68
237,"308,132",41.69
238,"309,132",41.48
239,"310,132",41.52
240,"311,132",41.60
241,"312,132",41.58
242,"313,132",41.67
243,"314,132",41.67
244,"315,132",41.60
245,"316,132",41.68
246,"317,132",41.71
