熱画像データ, AVIO_IR_20211105_1649.SVX
測定日時, '2021/11/05,レンジ, 1
測定時間, 17:03:40, 放射率, 0.96
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"72,138",23.83
2,"73,138",23.77
3,"74,138",23.83
4,"75,138",23.66
5,"76,138",23.66
6,"77,138",23.59
7,"78,138",23.70
8,"79,138",23.55
9,"80,138",23.76
10,"81,138",23.81
11,"82,138",23.91
12,"83,138",23.81
13,"84,138",23.51
14,"85,138",23.81
15,"86,138",23.69
16,"87,138",23.74
17,"88,138",23.81
18,"89,138",23.76
19,"90,138",23.83
20,"91,138",23.92
21,"92,138",23.64
22,"93,138",23.77
23,"94,138",23.76
24,"95,138",23.62
25,"96,138",23.75
26,"97,138",23.66
27,"98,138",23.66
28,"99,138",23.58
29,"100,138",23.87
30,"101,138",23.89
31,"102,138",23.78
32,"103,138",23.84
33,"104,138",23.66
34,"105,138",23.78
35,"106,138",23.77
36,"107,138",23.83
37,"108,138",23.88
38,"109,138",24.01
39,"110,137",23.78
40,"111,137",23.71
41,"112,137",23.63
42,"113,137",23.82
43,"114,137",23.85
44,"115,137",23.69
45,"116,137",23.61
46,"117,137",23.85
47,"118,137",23.73
48,"119,137",23.70
49,"120,137",23.80
50,"121,137",23.89
51,"122,137",23.89
52,"123,137",23.84
53,"124,137",23.83
54,"125,137",23.91
55,"126,137",23.76
56,"127,137",23.42
57,"128,137",23.87
58,"129,137",23.86
59,"130,137",23.83
60,"131,137",23.77
61,"132,137",23.91
62,"133,137",23.91
63,"134,137",23.80
64,"135,137",23.96
65,"136,137",23.96
66,"137,137",23.93
67,"138,137",23.95
68,"139,137",24.05
69,"140,137",23.96
70,"141,137",24.06
71,"142,137",23.83
72,"143,137",23.81
73,"144,137",24.04
74,"145,137",23.83
75,"146,137",23.97
76,"147,136",24.15
77,"148,136",24.07
78,"149,136",23.98
79,"150,136",24.01
80,"151,136",23.91
81,"152,136",24.12
82,"153,136",24.04
83,"154,136",24.01
84,"155,136",23.95
85,"156,136",24.03
86,"157,136",24.07
87,"158,136",23.85
88,"159,136",24.06
89,"160,136",23.87
90,"161,136",23.94
91,"162,136",23.98
92,"163,136",23.98
93,"164,136",24.01
94,"165,136",24.09
95,"166,136",24.16
96,"167,136",23.85
97,"168,136",24.04
98,"169,136",24.07
99,"170,136",24.00
100,"171,136",23.96
101,"172,136",24.07
102,"173,136",24.07
103,"174,136",24.07
104,"175,136",23.94
105,"176,136",24.04
106,"177,136",24.04
107,"178,136",23.96
108,"179,136",23.92
109,"180,136",24.12
110,"181,136",24.15
111,"182,136",24.08
112,"183,136",24.05
113,"184,135",24.03
114,"185,135",23.95
115,"186,135",24.07
116,"187,135",24.04
117,"188,135",24.04
118,"189,135",24.00
119,"190,135",24.08
120,"191,135",24.01
121,"192,135",24.12
122,"193,135",24.04
123,"194,135",23.98
124,"195,135",23.91
125,"196,135",24.01
126,"197,135",24.21
127,"198,135",24.16
128,"199,135",24.12
129,"200,135",24.04
130,"201,135",24.14
131,"202,135",23.89
132,"203,135",23.96
133,"204,135",24.03
134,"205,135",24.10
135,"206,135",24.11
136,"207,135",23.91
137,"208,135",24.20
138,"209,135",24.06
139,"210,135",23.92
140,"211,135",23.95
141,"212,135",23.96
142,"213,135",24.05
143,"214,135",24.07
144,"215,135",23.84
145,"216,135",23.97
146,"217,135",24.07
147,"218,135",24.08
148,"219,135",23.97
149,"220,135",24.20
150,"221,134",24.22
151,"222,134",24.03
152,"223,134",24.10
153,"224,134",24.01
154,"225,134",24.14
155,"226,134",23.96
156,"227,134",23.83
157,"228,134",24.16
158,"229,134",24.22
159,"230,134",24.05
160,"231,134",24.11
161,"232,134",24.16
162,"233,134",24.14
163,"234,134",24.15
164,"235,134",23.97
165,"236,134",24.16
166,"237,134",24.17
167,"238,134",23.98
168,"239,134",24.11
169,"240,134",24.03
170,"241,134",23.93
171,"242,134",24.09
172,"243,134",24.10
173,"244,134",24.10
174,"245,134",24.29
175,"246,134",23.95
176,"247,134",24.19
177,"248,134",24.12
178,"249,134",24.51
179,"250,134",24.11
180,"251,134",24.29
181,"252,134",24.11
182,"253,134",24.08
183,"254,134",24.05
184,"255,134",24.09
185,"256,134",24.19
186,"257,134",24.27
187,"258,134",24.07
188,"259,133",24.04
189,"260,133",24.01
190,"261,133",24.16
191,"262,133",24.22
192,"263,133",24.14
193,"264,133",24.10
194,"265,133",24.33
195,"266,133",24.22
196,"267,133",24.25
197,"268,133",24.18
198,"269,133",24.16
199,"270,133",24.20
200,"271,133",24.21
201,"272,133",24.09
202,"273,133",24.16
203,"274,133",24.23
204,"275,133",24.18
205,"276,133",24.14
206,"277,133",24.14
207,"278,133",24.29
208,"279,133",24.04
209,"280,133",24.18
210,"281,133",24.15
211,"282,133",24.15
212,"283,133",24.15
213,"284,133",24.15
214,"285,133",24.15
215,"286,133",24.11
216,"287,133",24.05
217,"288,133",24.30
218,"289,133",24.17
219,"290,133",24.10
220,"291,133",24.09
221,"292,133",24.14
222,"293,133",24.06
223,"294,133",24.27
224,"295,133",24.16
225,"296,132",23.93
226,"297,132",24.17
227,"298,132",24.12
228,"299,132",24.19
229,"300,132",24.19
230,"301,132",24.06
231,"302,132",24.27
232,"303,132",23.78
233,"304,132",24.09
234,"305,132",24.10
235,"306,132",24.25
236,"307,132",24.23
237,"308,132",24.10
238,"309,132",24.00
239,"310,132",24.16
240,"311,132",24.25
241,"312,132",24.28
242,"313,132",24.28
243,"314,132",24.20
244,"315,132",24.16
245,"316,132",24.30
246,"317,132",24.27
247,"318,132",24.04
248,"319,132",24.27
249,"320,132",24.17
250,"321,132",24.14
251,"322,132",24.33
252,"323,132",24.00
253,"324,132",24.18
254,"325,132",24.28
255,"326,132",24.27
256,"327,132",24.30
257,"328,132",24.23
258,"329,132",24.03
259,"330,132",24.19
260,"331,132",24.19
261,"332,132",24.08
262,"333,131",24.16
263,"334,131",24.16
264,"335,131",24.12
265,"336,131",24.21
266,"337,131",24.19
267,"338,131",24.16
268,"339,131",24.12
269,"340,131",24.20
270,"341,131",23.98
271,"342,131",24.27
272,"343,131",24.17
273,"344,131",24.11
274,"345,131",24.36
275,"346,131",24.31
276,"347,131",24.32
277,"348,131",24.03
278,"349,131",24.61
279,"350,131",24.19
280,"351,131",23.96
281,"352,131",24.19
282,"353,131",24.21
283,"354,131",24.27
284,"355,131",24.16
285,"356,131",24.15
286,"357,131",23.98
287,"358,131",24.16
288,"359,131",24.37
289,"360,131",24.12
290,"361,131",24.01
291,"362,131",24.20
292,"363,131",24.21
293,"364,131",24.23
294,"365,131",24.36
295,"366,131",24.06
296,"367,131",24.45
297,"368,131",24.07
298,"369,131",24.09
299,"370,130",24.28
300,"371,130",24.21
301,"372,130",24.18
302,"373,130",24.31
303,"374,130",24.31
304,"375,130",24.17
305,"376,130",24.32
306,"377,130",24.22
307,"378,130",24.28
308,"379,130",24.30
309,"380,130",24.21
310,"381,130",24.27
311,"382,130",24.31
312,"383,130",24.16
313,"384,130",24.16
314,"385,130",24.20
315,"386,130",24.20
316,"387,130",24.31
317,"388,130",24.16
318,"389,130",24.17
319,"390,130",24.28
320,"391,130",24.07
321,"392,130",24.32
322,"393,130",24.28
323,"394,130",24.27
324,"395,130",24.20
325,"396,130",24.19
326,"397,130",24.19
327,"398,130",24.04
328,"399,130",24.28
329,"400,130",24.22
330,"401,130",24.16
331,"402,130",23.98
332,"403,130",23.96
333,"404,130",24.32
334,"405,130",24.30
335,"406,130",24.09
336,"407,129",24.15
