熱画像データ, AVIO_IR_20211105_1721.SVX
測定日時, '2021/11/05,レンジ, 1
測定時間, 17:40:00, 放射率, 0.96
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"184,136",27.09
2,"184,137",27.03
3,"184,138",27.15
4,"184,139",27.09
5,"184,140",27.06
6,"184,141",26.89
7,"184,142",26.94
8,"184,143",26.99
9,"184,144",26.92
10,"184,145",27.00
11,"184,146",27.06
12,"184,147",26.96
13,"184,148",27.17
14,"184,149",27.15
15,"184,150",27.00
16,"184,151",27.01
17,"184,152",26.92
18,"184,153",27.05
19,"184,154",26.93
20,"184,155",27.12
21,"184,156",27.09
22,"184,157",26.71
23,"184,158",27.10
24,"184,159",26.93
25,"184,160",26.98
26,"184,161",26.97
27,"184,162",26.96
28,"184,163",27.06
29,"184,164",26.87
30,"184,165",27.05
31,"184,166",27.05
32,"184,167",27.06
33,"184,168",26.96
34,"184,169",27.10
35,"184,170",26.89
36,"184,171",27.10
37,"184,172",27.14
38,"184,173",26.92
39,"184,174",26.99
40,"184,175",27.08
41,"184,176",27.05
42,"185,177",27.05
43,"185,178",27.12
44,"185,179",26.95
45,"185,180",27.00
46,"185,181",26.97
47,"185,182",26.97
48,"185,183",26.97
49,"185,184",27.00
50,"185,185",27.03
51,"185,186",27.01
52,"185,187",27.01
53,"185,188",26.90
54,"185,189",27.20
55,"185,190",27.05
56,"185,191",27.01
57,"185,192",27.01
58,"185,193",26.98
59,"185,194",26.96
60,"185,195",27.07
61,"185,196",27.00
62,"185,197",26.99
63,"185,198",26.93
64,"185,199",27.01
65,"185,200",27.03
66,"185,201",27.00
67,"185,202",27.03
68,"185,203",27.04
69,"185,204",27.15
70,"185,205",27.09
71,"185,206",27.07
72,"185,207",26.99
73,"185,208",27.14
74,"185,209",26.94
75,"185,210",27.12
76,"185,211",26.67
77,"185,212",26.99
78,"185,213",27.10
79,"185,214",27.01
80,"185,215",27.04
81,"185,216",26.99
82,"186,217",26.93
83,"186,218",27.03
84,"186,219",26.97
85,"186,220",27.12
86,"186,221",27.12
87,"186,222",26.54
88,"186,223",26.92
89,"186,224",27.09
90,"186,225",27.06
91,"186,226",26.96
92,"186,227",26.96
93,"186,228",26.92
94,"186,229",26.90
95,"186,230",27.11
96,"186,231",26.90
97,"186,232",26.83
98,"186,233",27.14
99,"186,234",26.99
100,"186,235",26.98
101,"186,236",26.94
102,"186,237",26.70
103,"186,238",27.12
104,"186,239",27.09
105,"186,240",26.56
106,"186,241",27.07
107,"186,242",26.77
108,"186,243",26.93
109,"186,244",27.00
110,"186,245",26.92
111,"186,246",26.98
112,"186,247",26.96
113,"186,248",26.95
114,"186,249",26.85
115,"186,250",26.89
116,"186,251",26.94
117,"186,252",26.96
118,"186,253",27.09
119,"186,254",26.96
120,"186,255",26.93
121,"186,256",26.84
122,"186,257",26.78
123,"187,258",26.94
124,"187,259",26.84
125,"187,260",27.01
126,"187,261",26.82
127,"187,262",26.82
128,"187,263",26.82
129,"187,264",26.92
130,"187,265",26.88
131,"187,266",26.96
132,"187,267",26.83
133,"187,268",27.00
134,"187,269",26.88
135,"187,270",26.98
136,"187,271",26.87
137,"187,272",26.92
138,"187,273",26.93
139,"187,274",26.85
140,"187,275",26.76
141,"187,276",26.87
142,"187,277",26.75
143,"187,278",26.87
144,"187,279",26.99
