熱画像データ, AVIO_IR_20211105_1721.SVX
測定日時, '2021/11/05,レンジ, 1
測定時間, 17:32:25, 放射率, 0.96
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"184,136",31.20
2,"184,137",31.20
3,"184,138",31.20
4,"184,139",31.20
5,"184,140",31.20
6,"184,141",31.27
7,"184,142",31.20
8,"184,143",31.12
9,"184,144",31.22
10,"184,145",31.27
11,"184,146",31.23
12,"184,147",31.24
13,"184,148",31.31
14,"184,149",31.31
15,"184,150",31.24
16,"184,151",31.31
17,"184,152",31.15
18,"184,153",31.27
19,"184,154",31.27
20,"184,155",31.27
21,"184,156",31.16
22,"184,157",31.22
23,"184,158",31.24
24,"184,159",31.07
25,"184,160",31.12
26,"184,161",31.00
27,"184,162",31.08
28,"184,163",31.29
29,"184,164",31.27
30,"184,165",31.27
31,"184,166",31.20
32,"184,167",31.27
33,"184,168",31.17
34,"184,169",31.22
35,"184,170",31.12
36,"184,171",31.33
37,"184,172",31.17
38,"184,173",31.17
39,"184,174",31.16
40,"184,175",31.34
41,"184,176",31.20
42,"185,177",31.17
43,"185,178",31.16
44,"185,179",31.13
45,"185,180",31.08
46,"185,181",31.30
47,"185,182",31.10
48,"185,183",31.11
49,"185,184",31.07
50,"185,185",31.30
51,"185,186",31.16
52,"185,187",31.16
53,"185,188",31.19
54,"185,189",31.19
55,"185,190",31.15
56,"185,191",31.24
57,"185,192",31.06
58,"185,193",31.33
59,"185,194",31.02
60,"185,195",31.13
61,"185,196",31.11
62,"185,197",31.10
63,"185,198",31.08
64,"185,199",31.10
65,"185,200",31.20
66,"185,201",30.95
67,"185,202",31.19
68,"185,203",31.15
69,"185,204",31.15
70,"185,205",31.15
71,"185,206",31.15
72,"185,207",31.19
73,"185,208",31.08
74,"185,209",31.07
75,"185,210",31.04
76,"185,211",31.02
77,"185,212",31.08
78,"185,213",31.10
79,"185,214",31.08
80,"185,215",31.06
81,"185,216",31.02
82,"186,217",31.11
83,"186,218",31.10
84,"186,219",31.07
85,"186,220",31.10
86,"186,221",31.20
87,"186,222",31.07
88,"186,223",31.02
89,"186,224",31.08
90,"186,225",31.04
91,"186,226",31.01
92,"186,227",31.02
93,"186,228",31.10
94,"186,229",30.97
95,"186,230",31.10
96,"186,231",30.96
97,"186,232",30.99
98,"186,233",31.02
99,"186,234",31.02
100,"186,235",31.02
101,"186,236",30.94
102,"186,237",31.07
103,"186,238",31.04
104,"186,239",31.04
105,"186,240",31.02
106,"186,241",31.10
107,"186,242",30.97
108,"186,243",30.99
109,"186,244",31.04
110,"186,245",30.97
111,"186,246",30.95
112,"186,247",31.04
113,"186,248",31.00
114,"186,249",31.06
115,"186,250",31.08
116,"186,251",31.02
117,"186,252",30.97
118,"186,253",30.97
119,"186,254",30.86
120,"186,255",31.06
121,"186,256",30.97
122,"186,257",30.97
123,"187,258",30.95
124,"187,259",30.97
125,"187,260",31.02
126,"187,261",30.83
127,"187,262",30.88
128,"187,263",30.93
129,"187,264",30.78
130,"187,265",30.83
131,"187,266",31.06
132,"187,267",31.07
133,"187,268",30.95
134,"187,269",30.83
135,"187,270",30.83
136,"187,271",30.85
137,"187,272",30.90
138,"187,273",30.95
139,"187,274",30.79
140,"187,275",30.69
141,"187,276",30.88
142,"187,277",30.71
143,"187,278",30.86
144,"187,279",30.83
145,"187,280",30.79
146,"187,281",30.78
147,"187,282",31.00
148,"187,283",30.97
149,"187,284",30.95
150,"187,285",30.73
151,"187,286",30.83
152,"187,287",30.80
153,"187,288",30.83
154,"187,289",30.64
155,"187,290",30.72
156,"187,291",30.87
157,"187,292",30.83
158,"187,293",30.79
159,"187,294",30.73
160,"187,295",30.75
161,"187,296",30.75
162,"187,297",30.75
163,"188,298",30.60
164,"188,299",30.84
165,"188,300",30.76
166,"188,301",30.85
167,"188,302",30.61
