熱画像データ, AVIO_IR_20211105_1721.SVX
測定日時, '2021/11/05,レンジ, 1
測定時間, 17:28:20, 放射率, 0.96
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"184,136",35.72
2,"184,137",35.59
3,"184,138",35.66
4,"184,139",35.54
5,"184,140",35.47
6,"184,141",35.61
7,"184,142",35.61
8,"184,143",35.58
9,"184,144",35.58
10,"184,145",35.79
11,"184,146",35.78
12,"184,147",35.74
13,"184,148",35.61
14,"184,149",35.63
15,"184,150",35.63
16,"184,151",35.69
17,"184,152",35.59
18,"184,153",35.72
19,"184,154",35.50
20,"184,155",35.65
21,"184,156",35.59
22,"184,157",35.62
23,"184,158",35.63
24,"184,159",35.59
25,"184,160",35.56
26,"184,161",35.53
27,"184,162",35.47
28,"184,163",35.72
29,"184,164",35.65
30,"184,165",35.63
31,"184,166",35.63
32,"184,167",35.63
33,"184,168",35.63
34,"184,169",35.59
35,"184,170",35.45
36,"184,171",35.62
37,"184,172",35.56
38,"184,173",35.74
39,"184,174",35.58
40,"184,175",35.59
41,"184,176",35.59
42,"185,177",35.58
43,"185,178",35.61
44,"185,179",35.45
45,"185,180",35.41
46,"185,181",35.56
47,"185,182",35.59
48,"185,183",35.51
49,"185,184",35.50
50,"185,185",35.63
51,"185,186",35.67
52,"185,187",35.39
53,"185,188",35.36
54,"185,189",35.65
55,"185,190",35.65
56,"185,191",35.61
57,"185,192",35.50
58,"185,193",35.65
59,"185,194",35.44
60,"185,195",35.53
61,"185,196",35.55
62,"185,197",35.51
63,"185,198",35.51
64,"185,199",35.40
65,"185,200",35.63
66,"185,201",35.44
67,"185,202",35.50
68,"185,203",35.62
69,"185,204",35.47
70,"185,205",35.47
71,"185,206",35.46
72,"185,207",35.55
73,"185,208",35.52
74,"185,209",35.46
75,"185,210",35.46
76,"185,211",35.46
77,"185,212",35.50
78,"185,213",35.52
79,"185,214",35.46
80,"185,215",35.46
81,"185,216",35.44
82,"186,217",35.58
83,"186,218",35.39
84,"186,219",35.22
85,"186,220",35.54
86,"186,221",35.47
87,"186,222",35.53
88,"186,223",35.39
89,"186,224",35.43
90,"186,225",35.39
91,"186,226",35.36
92,"186,227",35.39
93,"186,228",35.50
94,"186,229",35.22
95,"186,230",35.39
96,"186,231",35.35
97,"186,232",35.39
98,"186,233",35.40
99,"186,234",35.40
100,"186,235",35.40
101,"186,236",35.26
102,"186,237",35.41
103,"186,238",35.50
104,"186,239",35.39
105,"186,240",35.37
106,"186,241",35.37
107,"186,242",35.31
108,"186,243",35.31
109,"186,244",35.37
110,"186,245",35.31
111,"186,246",35.31
112,"186,247",35.31
113,"186,248",35.29
114,"186,249",35.44
115,"186,250",35.31
116,"186,251",35.29
117,"186,252",35.29
118,"186,253",35.26
119,"186,254",35.25
120,"186,255",35.24
121,"186,256",35.33
122,"186,257",35.10
123,"187,258",35.31
124,"187,259",35.29
125,"187,260",35.29
126,"187,261",35.10
127,"187,262",35.19
128,"187,263",35.22
129,"187,264",35.20
130,"187,265",35.20
131,"187,266",35.31
132,"187,267",35.26
133,"187,268",35.25
134,"187,269",35.20
135,"187,270",35.37
136,"187,271",35.10
137,"187,272",35.18
138,"187,273",35.18
139,"187,274",35.14
140,"187,275",34.97
141,"187,276",35.20
142,"187,277",34.86
143,"187,278",35.08
