x_pw,y_pw,z_pw,x_nw,y_nw,z_nw
136.1597588,-145,-40.33235801,0.544639035,0,0.838670568
139.7982259,-145,-42.74060686,0.559192903,0,0.829037573
143.3941091,-145,-45.21198893,0.573576436,0,0.819152044
146.9463131,-145,-47.74575141,0.587785252,0,0.809016994
150.4537558,-145,-50.34112249,0.601815023,0,0.79863551
153.9153688,-145,-52.9973116,0.615661475,0,0.788010754
157.3300978,-145,-55.71350964,0.629320391,0,0.777145961
160.6969024,-145,-58.48888922,0.64278761,0,0.766044443
164.0147572,-145,-61.32260494,0.656059029,0,0.75470958
167.2826516,-145,-64.21379363,0.669130606,0,0.743144825
170.49959,-145,-67.1615746,0.68199836,0,0.731353702
173.6645926,-145,-70.16504992,0.69465837,0,0.7193398
176.7766953,-145,-73.2233047,0.707106781,0,0.707106781
179.8349501,-145,-76.33540739,0.7193398,0,0.69465837
182.8384254,-145,-79.50040998,0.731353702,0,0.68199836
185.7862064,-145,-82.71734841,0.743144825,0,0.669130606
188.6773951,-145,-85.98524275,0.75470958,0,0.656059029
191.5111108,-145,-89.30309758,0.766044443,0,0.64278761
194.2864904,-145,-92.66990224,0.777145961,0,0.629320391
197.0026884,-145,-96.08463117,0.788010754,0,0.615661475
199.6588775,-145,-99.54624421,0.79863551,0,0.601815023
202.2542486,-145,-103.0536869,0.809016994,0,0.587785252
204.7880111,-145,-106.6058909,0.819152044,0,0.573576436
207.2593931,-145,-110.2017741,0.829037573,0,0.559192903
209.667642,-145,-113.8402412,0.838670568,0,0.544639035
212.012024,-145,-117.5201839,0.848048096,0,0.529919264
214.2918252,-145,-121.2404813,0.857167301,0,0.515038075
1.53E-14,-140,0,0,0,1
4.363101609,-140,-0.038076211,0.017452406,0,0.999847695
8.724874176,-140,-0.152293245,0.034899497,0,0.999390827
13.08398906,-140,-0.342616311,0.052335956,0,0.998629535
17.43911844,-140,-0.608987435,0.069756474,0,0.99756405
21.78893569,-140,-0.951325477,0.087155743,0,0.996194698
26.13211582,-140,-1.369526158,0.104528463,0,0.994521895
30.46733585,-140,-1.86346209,0.121869343,0,0.992546152
34.79327524,-140,-2.432982815,0.139173101,0,0.990268069
39.10861626,-140,-3.077914851,0.156434465,0,0.987688341
43.41204442,-140,-3.798061747,0.173648178,0,0.984807753
47.70224884,-140,-4.593204138,0.190808995,0,0.981627183
