熱画像データ, AVIO_IR_20211013_1419.SVX
測定日時, '2021/10/13,レンジ, 1
測定時間, 14:26:01, 放射率, 0.94
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"112,122",24.18
2,"112,123",24.23
3,"112,124",24.23
4,"112,125",24.29
5,"112,126",24.18
6,"112,127",24.12
7,"112,128",24.22
8,"112,129",23.99
9,"112,130",24.19
10,"112,131",24.10
11,"112,132",24.05
12,"112,133",24.21
13,"112,134",24.25
14,"112,135",24.34
15,"112,136",24.21
16,"112,137",24.14
17,"112,138",24.19
18,"112,139",24.40
19,"112,140",24.19
20,"112,141",24.41
21,"112,142",24.22
22,"111,143",24.22
23,"111,144",24.25
24,"111,145",24.36
25,"111,146",24.28
26,"111,147",24.23
27,"111,148",24.26
28,"111,149",24.28
29,"111,150",24.36
30,"111,151",24.19
31,"111,152",24.21
32,"111,153",24.07
33,"111,154",24.32
34,"111,155",24.36
35,"111,156",24.31
36,"111,157",24.28
37,"111,158",24.60
38,"111,159",24.21
39,"111,160",24.25
40,"111,161",24.19
41,"111,162",24.36
42,"111,163",24.31
43,"110,164",24.41
44,"110,165",24.47
45,"110,166",24.55
46,"110,167",24.38
47,"110,168",24.32
48,"110,169",24.45
49,"110,170",24.38
50,"110,171",24.52
51,"110,172",24.36
52,"110,173",24.37
53,"110,174",24.65
54,"110,175",24.56
55,"110,176",24.40
56,"110,177",24.58
57,"110,178",24.39
58,"110,179",24.42
59,"110,180",24.41
60,"110,181",24.54
61,"110,182",24.43
62,"110,183",24.47
63,"109,184",24.55
64,"109,185",24.42
65,"109,186",24.55
66,"109,187",24.54
67,"109,188",24.59
68,"109,189",24.39
69,"109,190",24.44
70,"109,191",24.27
71,"109,192",24.54
72,"109,193",24.47
73,"109,194",24.45
74,"109,195",24.45
75,"109,196",24.30
76,"109,197",24.52
77,"109,198",24.32
78,"109,199",24.54
79,"109,200",24.40
80,"109,201",24.49
81,"109,202",24.42
82,"109,203",24.42
83,"109,204",24.42
84,"108,205",24.40
85,"108,206",24.40
86,"108,207",24.39
87,"108,208",24.34
88,"108,209",24.58
89,"108,210",24.39
90,"108,211",24.36
91,"108,212",24.43
92,"108,213",24.26
93,"108,214",24.34
94,"108,215",24.28
95,"108,216",24.23
96,"108,217",24.47
97,"108,218",24.19
98,"108,219",24.41
99,"108,220",24.45
100,"108,221",24.60
101,"108,222",24.18
102,"108,223",24.32
103,"108,224",24.36
104,"107,225",24.28
105,"107,226",24.42
106,"107,227",24.23
107,"107,228",24.32
108,"107,229",24.27
109,"107,230",24.30
110,"107,231",24.34
111,"107,232",24.41
112,"107,233",24.21
113,"107,234",24.39
114,"107,235",24.17
115,"107,236",24.41
116,"107,237",24.28
117,"107,238",24.25
118,"107,239",24.30
119,"107,240",24.32
120,"107,241",24.19
121,"107,242",24.39
122,"107,243",24.42
123,"107,244",24.28
124,"107,245",24.31
125,"106,246",24.21
126,"106,247",24.43
127,"106,248",24.23
128,"106,249",24.36
129,"106,250",24.31
130,"106,251",24.26
131,"106,252",24.27
132,"106,253",24.12
133,"106,254",24.27
134,"106,255",24.38
135,"106,256",24.39
136,"106,257",24.23
137,"106,258",24.21
138,"106,259",24.38
139,"106,260",24.15
140,"106,261",24.29
141,"106,262",24.21
142,"106,263",24.45
143,"106,264",24.19
144,"106,265",24.26
145,"105,266",24.18
146,"105,267",24.17
147,"105,268",24.21
148,"105,269",24.07
149,"105,270",24.26
150,"105,271",24.44
151,"105,272",24.14
152,"105,273",24.23
153,"105,274",24.11
154,"105,275",24.14
155,"105,276",24.18
156,"105,277",24.21
157,"105,278",24.23
158,"105,279",24.28
159,"105,280",24.29
160,"105,281",24.44
161,"105,282",24.11
162,"105,283",24.31
163,"105,284",24.22
164,"105,285",24.21
165,"105,286",24.23
166,"104,287",24.30
167,"104,288",24.26
168,"104,289",24.18
169,"104,290",24.18
170,"104,291",24.06
171,"104,292",24.14
172,"104,293",24.14
173,"104,294",24.27
174,"104,295",23.97
175,"104,296",24.22
176,"104,297",24.21
177,"104,298",24.14
178,"104,299",24.42
179,"104,300",24.01
180,"104,301",24.06
181,"104,302",24.14
182,"104,303",23.97
183,"104,304",24.19
184,"104,305",24.21
185,"104,306",24.27
186,"104,307",24.23
187,"103,308",24.15
188,"103,309",24.12
189,"103,310",24.37
190,"103,311",24.11
191,"103,312",24.21
192,"103,313",24.01
193,"103,314",24.19
194,"103,315",24.18
195,"103,316",24.29
196,"103,317",24.10
197,"103,318",24.21
198,"103,319",24.36
199,"103,320",24.22
200,"103,321",24.28
201,"103,322",24.26
202,"103,323",24.15
203,"103,324",24.39
204,"103,325",24.12
205,"103,326",24.28
206,"103,327",24.09
207,"102,328",24.28
208,"102,329",24.32
209,"102,330",24.12
210,"102,331",24.36
211,"102,332",24.28
212,"102,333",24.23
213,"102,334",24.21
214,"102,335",24.21
215,"102,336",24.22
216,"102,337",24.32
217,"102,338",24.22
218,"102,339",24.30
219,"102,340",24.45
220,"102,341",24.28
221,"102,342",24.44
222,"102,343",24.09
223,"102,344",24.11
224,"102,345",24.28
225,"102,346",24.31
226,"102,347",24.29
227,"102,348",24.31
228,"101,349",24.29
229,"101,350",24.28
230,"101,351",24.04
231,"101,352",24.25
232,"101,353",24.44
233,"101,354",24.41
234,"101,355",24.21
235,"101,356",24.41
236,"101,357",24.26
237,"101,358",24.15
238,"101,359",24.51
239,"101,360",24.42
240,"101,361",24.56
241,"101,362",24.54
242,"101,363",24.36
243,"101,364",24.47
244,"101,365",24.28
245,"101,366",24.36
246,"101,367",24.34
247,"101,368",24.34
248,"100,369",24.36
249,"100,370",24.34
250,"100,371",24.22
251,"100,372",24.28
252,"100,373",24.34
253,"100,374",24.34
254,"100,375",24.56
255,"100,376",24.32
256,"100,377",24.40
257,"100,378",24.22
258,"100,379",24.22
259,"100,380",24.36
260,"100,381",24.31
261,"100,382",24.47
262,"100,383",24.45
263,"100,384",24.18
264,"100,385",24.36
265,"100,386",24.23
266,"100,387",24.21
267,"100,388",24.29
268,"100,389",24.39
269,"99,390",24.38
270,"99,391",24.38
271,"99,392",24.28
272,"99,393",24.34
273,"99,394",24.23
274,"99,395",24.14
275,"99,396",24.38
276,"99,397",24.42
277,"99,398",24.36
278,"99,399",24.19
279,"99,400",24.27
280,"99,401",24.23
281,"99,402",24.26
282,"99,403",24.34
283,"99,404",24.23
284,"99,405",24.34
285,"99,406",24.28
286,"99,407",24.05
287,"99,408",24.14
288,"99,409",24.11
289,"98,410",24.31
290,"98,411",24.30
291,"98,412",24.50
292,"98,413",24.78
293,"98,414",24.07
294,"98,415",24.21
295,"98,416",24.54
296,"98,417",24.25
297,"98,418",24.14
298,"98,419",24.10
299,"98,420",24.27
300,"98,421",24.30
301,"98,422",24.45
302,"98,423",24.31
303,"98,424",24.21
304,"98,425",24.21
305,"98,426",24.21
306,"98,427",24.26
307,"98,428",24.19
308,"98,429",24.34
309,"98,430",23.56
310,"97,431",24.21
311,"97,432",24.36
312,"97,433",24.03
313,"97,434",24.15
314,"97,435",23.92
315,"97,436",23.85
316,"97,437",24.17
317,"97,438",24.17
318,"97,439",24.17
319,"97,440",24.17
320,"97,441",24.04
