熱画像データ, AVIO_IR_20211013_1419.SVX
測定日時, '2021/10/13,レンジ, 1
測定時間, 14:27:33, 放射率, 0.94
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"112,122",23.76
2,"112,123",23.78
3,"112,124",23.81
4,"112,125",23.84
5,"112,126",24.01
6,"112,127",23.76
7,"112,128",23.74
8,"112,129",23.59
9,"112,130",23.78
10,"112,131",23.71
11,"112,132",23.75
12,"112,133",23.87
13,"112,134",23.64
14,"112,135",23.86
15,"112,136",23.63
16,"112,137",23.78
17,"112,138",23.86
18,"112,139",23.99
19,"112,140",23.82
20,"112,141",23.81
21,"112,142",23.75
22,"111,143",23.75
23,"111,144",23.67
24,"111,145",23.73
25,"111,146",23.96
26,"111,147",23.85
27,"111,148",23.69
28,"111,149",23.73
29,"111,150",24.03
30,"111,151",23.83
31,"111,152",24.04
32,"111,153",23.58
33,"111,154",23.64
34,"111,155",23.82
35,"111,156",23.74
36,"111,157",23.91
37,"111,158",24.03
38,"111,159",23.87
39,"111,160",23.88
40,"111,161",23.92
41,"111,162",23.85
42,"111,163",23.96
43,"110,164",23.87
44,"110,165",24.00
45,"110,166",24.01
46,"110,167",23.83
47,"110,168",23.96
48,"110,169",24.29
49,"110,170",24.06
50,"110,171",24.00
51,"110,172",23.82
52,"110,173",23.93
53,"110,174",24.05
54,"110,175",24.00
55,"110,176",23.84
56,"110,177",24.37
57,"110,178",23.71
58,"110,179",23.89
59,"110,180",23.89
60,"110,181",24.04
61,"110,182",23.86
62,"110,183",23.94
63,"109,184",23.88
64,"109,185",23.82
65,"109,186",24.09
66,"109,187",23.89
67,"109,188",24.07
68,"109,189",23.83
69,"109,190",23.99
70,"109,191",24.05
71,"109,192",23.99
72,"109,193",23.85
73,"109,194",24.10
74,"109,195",24.03
75,"109,196",23.94
76,"109,197",24.06
77,"109,198",23.77
78,"109,199",23.83
79,"109,200",23.96
80,"109,201",23.89
81,"109,202",23.87
82,"109,203",24.11
83,"109,204",23.93
84,"108,205",24.01
85,"108,206",23.76
86,"108,207",24.00
87,"108,208",23.96
88,"108,209",23.91
89,"108,210",23.88
90,"108,211",23.78
91,"108,212",23.82
92,"108,213",23.82
93,"108,214",23.76
94,"108,215",23.75
95,"108,216",23.82
96,"108,217",23.75
97,"108,218",23.73
98,"108,219",23.92
99,"108,220",23.85
100,"108,221",23.95
101,"108,222",23.59
102,"108,223",23.87
103,"108,224",23.86
104,"107,225",23.78
105,"107,226",23.96
106,"107,227",23.63
107,"107,228",23.92
108,"107,229",23.82
109,"107,230",23.82
110,"107,231",23.63
111,"107,232",23.88
112,"107,233",23.89
113,"107,234",24.00
114,"107,235",23.66
115,"107,236",23.73
116,"107,237",23.77
117,"107,238",23.93
118,"107,239",23.74
119,"107,240",23.82
120,"107,241",23.84
121,"107,242",23.91
122,"107,243",23.87
123,"107,244",23.75
124,"107,245",23.59
125,"106,246",23.82
126,"106,247",23.93
127,"106,248",23.76
128,"106,249",23.78
129,"106,250",23.76
130,"106,251",23.88
131,"106,252",23.78
132,"106,253",23.78
133,"106,254",23.70
134,"106,255",23.91
135,"106,256",23.70
136,"106,257",23.67
137,"106,258",23.81
138,"106,259",23.66
139,"106,260",23.77
140,"106,261",23.77
141,"106,262",23.56
142,"106,263",23.87
143,"106,264",23.75
144,"106,265",23.75
145,"105,266",23.51
146,"105,267",23.74
147,"105,268",23.75
148,"105,269",23.75
149,"105,270",23.74
150,"105,271",23.95
151,"105,272",23.71
152,"105,273",23.95
153,"105,274",23.77
154,"105,275",23.78
155,"105,276",23.82
156,"105,277",23.71
157,"105,278",23.71
158,"105,279",23.72
159,"105,280",23.75
160,"105,281",23.82
161,"105,282",23.70
162,"105,283",23.88
163,"105,284",23.69
164,"105,285",23.71
165,"105,286",23.72
166,"104,287",23.78
167,"104,288",23.82
168,"104,289",23.82
169,"104,290",23.81
170,"104,291",23.81
171,"104,292",23.71
172,"104,293",23.66
173,"104,294",23.60
174,"104,295",23.78
175,"104,296",23.82
176,"104,297",23.81
177,"104,298",23.77
178,"104,299",23.76
179,"104,300",23.73
180,"104,301",23.70
181,"104,302",23.72
182,"104,303",23.40
183,"104,304",23.73
184,"104,305",23.84
185,"104,306",23.63
186,"104,307",23.86
187,"103,308",23.76
188,"103,309",23.64
189,"103,310",23.66
190,"103,311",23.74
191,"103,312",23.60
192,"103,313",23.83
193,"103,314",23.81
194,"103,315",23.82
195,"103,316",23.94
196,"103,317",23.53
197,"103,318",23.77
198,"103,319",24.00
199,"103,320",23.77
200,"103,321",23.73
201,"103,322",23.73
202,"103,323",23.88
203,"103,324",23.93
204,"103,325",23.85
205,"103,326",23.97
206,"103,327",23.76
207,"102,328",23.87
208,"102,329",23.93
209,"102,330",23.71
210,"102,331",23.82
211,"102,332",23.82
212,"102,333",24.05
213,"102,334",23.95
214,"102,335",23.70
215,"102,336",23.82
216,"102,337",23.92
217,"102,338",23.63
218,"102,339",23.85
219,"102,340",23.83
220,"102,341",23.92
221,"102,342",23.82
222,"102,343",23.63
223,"102,344",23.77
224,"102,345",23.96
225,"102,346",24.01
226,"102,347",23.76
227,"102,348",24.03
228,"101,349",23.77
229,"101,350",23.84
230,"101,351",23.75
231,"101,352",23.88
232,"101,353",23.92
233,"101,354",23.97
234,"101,355",23.70
235,"101,356",23.82
236,"101,357",23.70
237,"101,358",23.88
238,"101,359",23.94
239,"101,360",23.82
240,"101,361",24.09
241,"101,362",23.97
242,"101,363",24.07
243,"101,364",23.97
244,"101,365",23.78
245,"101,366",23.96
246,"101,367",23.84
247,"101,368",23.83
248,"100,369",23.93
249,"100,370",24.07
250,"100,371",23.75
251,"100,372",23.72
252,"100,373",23.83
253,"100,374",23.71
254,"100,375",23.96
255,"100,376",23.96
256,"100,377",23.88
257,"100,378",23.92
258,"100,379",23.83
259,"100,380",23.72
260,"100,381",23.89
261,"100,382",23.91
262,"100,383",24.03
263,"100,384",23.73
264,"100,385",24.01
265,"100,386",23.93
266,"100,387",23.87
267,"100,388",23.75
268,"100,389",23.82
269,"99,390",23.82
270,"99,391",23.95
271,"99,392",23.91
272,"99,393",23.78
273,"99,394",23.85
274,"99,395",23.89
275,"99,396",23.87
276,"99,397",24.06
277,"99,398",23.94
278,"99,399",23.74
279,"99,400",24.11
280,"99,401",23.89
281,"99,402",23.84
282,"99,403",23.86
283,"99,404",23.93
284,"99,405",23.88
285,"99,406",24.09
286,"99,407",23.84
287,"99,408",23.89
288,"99,409",23.82
289,"98,410",23.82
290,"98,411",23.85
291,"98,412",23.85
292,"98,413",23.85
293,"98,414",23.97
294,"98,415",23.89
295,"98,416",24.00
296,"98,417",23.74
297,"98,418",23.85
298,"98,419",23.77
299,"98,420",23.95
300,"98,421",23.77
301,"98,422",23.87
302,"98,423",23.96
303,"98,424",23.96
304,"98,425",24.01
305,"98,426",24.19
306,"98,427",23.82
307,"98,428",24.10
308,"98,429",23.89
309,"98,430",23.84
310,"97,431",23.99
311,"97,432",23.83
312,"97,433",23.76
313,"97,434",23.82
314,"97,435",23.59
315,"97,436",23.20
316,"97,437",23.91
317,"97,438",23.71
318,"97,439",23.94
319,"97,440",23.93
320,"97,441",23.71
321,"97,442",24.00
322,"97,443",24.09
323,"97,444",23.85
324,"97,445",23.81
325,"97,446",23.81
326,"97,447",23.77
327,"97,448",23.81
328,"97,449",23.82
329,"97,450",23.82
330,"96,451",23.82
