熱画像データ, AVIO_IR_20211013_1419.SVX
測定日時, '2021/10/13,レンジ, 1
測定時間, 14:28:23, 放射率, 0.94
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"112,122",23.44
2,"112,123",23.58
3,"112,124",23.55
4,"112,125",23.55
5,"112,126",23.78
6,"112,127",23.60
7,"112,128",23.77
8,"112,129",23.36
9,"112,130",23.49
10,"112,131",23.58
11,"112,132",23.53
12,"112,133",23.54
13,"112,134",23.51
14,"112,135",23.60
15,"112,136",23.61
16,"112,137",23.54
17,"112,138",23.66
18,"112,139",23.64
19,"112,140",23.97
20,"112,141",23.49
21,"112,142",23.45
22,"111,143",23.73
23,"111,144",23.59
24,"111,145",23.61
25,"111,146",23.77
26,"111,147",23.83
27,"111,148",23.42
28,"111,149",23.48
29,"111,150",23.75
30,"111,151",23.59
31,"111,152",23.86
32,"111,153",23.42
33,"111,154",23.63
34,"111,155",23.50
35,"111,156",23.61
36,"111,157",23.71
37,"111,158",23.78
38,"111,159",23.59
39,"111,160",23.61
40,"111,161",23.59
41,"111,162",23.63
42,"111,163",23.77
43,"110,164",23.76
44,"110,165",23.84
45,"110,166",23.75
46,"110,167",23.69
47,"110,168",23.39
48,"110,169",23.69
49,"110,170",23.75
50,"110,171",23.91
51,"110,172",23.67
52,"110,173",23.69
53,"110,174",24.00
54,"110,175",23.78
55,"110,176",23.65
56,"110,177",23.87
57,"110,178",23.61
58,"110,179",23.75
59,"110,180",23.61
60,"110,181",23.81
61,"110,182",23.65
62,"110,183",23.74
63,"109,184",23.74
64,"109,185",23.74
65,"109,186",23.72
66,"109,187",23.76
67,"109,188",23.91
68,"109,189",23.49
69,"109,190",23.65
70,"109,191",23.81
71,"109,192",23.75
72,"109,193",23.76
73,"109,194",23.83
74,"109,195",23.75
75,"109,196",23.77
76,"109,197",23.81
77,"109,198",23.71
78,"109,199",23.74
79,"109,200",23.65
80,"109,201",23.60
81,"109,202",23.60
82,"109,203",23.83
83,"109,204",23.74
84,"108,205",23.82
85,"108,206",23.69
86,"108,207",23.83
87,"108,208",23.66
88,"108,209",23.84
89,"108,210",23.69
90,"108,211",23.67
91,"108,212",23.73
92,"108,213",23.61
93,"108,214",23.64
94,"108,215",23.64
95,"108,216",23.63
96,"108,217",23.56
97,"108,218",23.49
98,"108,219",23.56
99,"108,220",23.58
100,"108,221",23.64
101,"108,222",23.51
102,"108,223",23.59
103,"108,224",23.67
104,"107,225",23.59
105,"107,226",23.67
106,"107,227",23.41
107,"107,228",23.49
108,"107,229",23.60
109,"107,230",23.56
110,"107,231",23.49
111,"107,232",23.63
112,"107,233",23.64
113,"107,234",23.77
114,"107,235",23.55
115,"107,236",23.63
116,"107,237",23.56
117,"107,238",23.60
118,"107,239",23.55
119,"107,240",23.55
120,"107,241",23.45
121,"107,242",23.71
122,"107,243",23.70
123,"107,244",23.60
124,"107,245",23.54
125,"106,246",23.63
126,"106,247",23.65
127,"106,248",23.63
128,"106,249",23.75
129,"106,250",23.47
130,"106,251",23.66
131,"106,252",23.69
132,"106,253",23.54
133,"106,254",23.50
134,"106,255",23.63
135,"106,256",23.51
136,"106,257",23.52
137,"106,258",23.60
138,"106,259",23.73
139,"106,260",23.58
140,"106,261",23.45
141,"106,262",23.55
142,"106,263",23.61
143,"106,264",23.74
144,"106,265",23.50
145,"105,266",23.30
146,"105,267",23.71
147,"105,268",23.39
148,"105,269",23.45
149,"105,270",23.55
150,"105,271",23.65
151,"105,272",23.65
152,"105,273",23.58
153,"105,274",23.63
154,"105,275",23.65
155,"105,276",23.54
156,"105,277",23.45
157,"105,278",23.71
158,"105,279",23.50
159,"105,280",23.69
160,"105,281",23.51
161,"105,282",23.53
162,"105,283",23.65
163,"105,284",23.45
164,"105,285",23.45
165,"105,286",23.45
166,"104,287",23.61
167,"104,288",23.56
168,"104,289",23.60
169,"104,290",23.60
170,"104,291",23.51
171,"104,292",23.50
172,"104,293",23.45
173,"104,294",23.53
174,"104,295",23.45
175,"104,296",23.70
176,"104,297",23.63
177,"104,298",23.63
178,"104,299",23.48
179,"104,300",23.17
180,"104,301",23.49
181,"104,302",23.54
182,"104,303",23.32
183,"104,304",23.54
184,"104,305",23.75
185,"104,306",23.45
186,"104,307",23.58
187,"103,308",23.63
188,"103,309",23.41
189,"103,310",23.55
190,"103,311",23.60
191,"103,312",23.53
192,"103,313",23.50
193,"103,314",23.55
194,"103,315",23.60
195,"103,316",23.66
196,"103,317",23.34
197,"103,318",23.63
198,"103,319",23.83
199,"103,320",23.56
200,"103,321",23.59
201,"103,322",23.59
202,"103,323",23.63
203,"103,324",23.59
204,"103,325",23.61
205,"103,326",23.61
206,"103,327",23.50
207,"102,328",23.65
208,"102,329",23.69
209,"102,330",23.53
210,"102,331",23.65
211,"102,332",23.64
212,"102,333",23.83
213,"102,334",23.69
214,"102,335",23.47
215,"102,336",23.71
216,"102,337",23.73
217,"102,338",23.55
218,"102,339",23.73
219,"102,340",24.18
220,"102,341",23.81
221,"102,342",23.66
222,"102,343",23.36
223,"102,344",23.63
224,"102,345",23.72
225,"102,346",23.81
226,"102,347",23.71
227,"102,348",23.64
228,"101,349",23.61
229,"101,350",23.78
230,"101,351",23.55
231,"101,352",23.52
232,"101,353",23.72
233,"101,354",23.81
234,"101,355",23.45
235,"101,356",23.70
236,"101,357",23.54
237,"101,358",23.55
238,"101,359",23.75
239,"101,360",23.63
240,"101,361",23.89
241,"101,362",23.60
242,"101,363",23.82
243,"101,364",23.88
244,"101,365",23.55
245,"101,366",23.69
246,"101,367",23.69
247,"101,368",23.82
248,"100,369",23.67
249,"100,370",23.86
250,"100,371",23.00
251,"100,372",23.59
252,"100,373",23.65
253,"100,374",23.66
254,"100,375",23.86
255,"100,376",23.75
256,"100,377",23.74
257,"100,378",23.61
258,"100,379",23.67
259,"100,380",23.73
260,"100,381",23.63
261,"100,382",23.64
262,"100,383",23.70
263,"100,384",23.54
264,"100,385",23.78
265,"100,386",23.95
266,"100,387",23.54
267,"100,388",23.69
268,"100,389",23.72
269,"99,390",23.69
270,"99,391",23.67
271,"99,392",23.75
272,"99,393",23.63
273,"99,394",23.82
274,"99,395",23.94
275,"99,396",23.76
276,"99,397",23.75
277,"99,398",23.70
278,"99,399",23.45
279,"99,400",23.92
280,"99,401",23.59
281,"99,402",23.48
282,"99,403",23.69
283,"99,404",23.55
284,"99,405",23.63
285,"99,406",23.97
286,"99,407",23.63
287,"99,408",23.72
288,"99,409",23.63
289,"98,410",23.67
290,"98,411",23.71
291,"98,412",23.59
292,"98,413",23.83
293,"98,414",23.63
294,"98,415",23.72
295,"98,416",23.87
296,"98,417",24.28
297,"98,418",23.65
298,"98,419",23.64
299,"98,420",23.84
300,"98,421",23.56
301,"98,422",23.65
302,"98,423",23.77
303,"98,424",23.69
304,"98,425",23.65
305,"98,426",23.73
306,"98,427",23.74
307,"98,428",23.93
308,"98,429",23.78
309,"98,430",23.51
310,"97,431",23.84
311,"97,432",23.69
312,"97,433",23.47
313,"97,434",23.65
314,"97,435",23.63
315,"97,436",23.34
316,"97,437",23.58
317,"97,438",23.48
318,"97,439",24.11
319,"97,440",23.69
320,"97,441",23.55
321,"97,442",23.84
322,"97,443",23.85
323,"97,444",23.47
324,"97,445",23.69
325,"97,446",23.60
326,"97,447",23.58
327,"97,448",23.42
328,"97,449",23.72
329,"97,450",23.56
330,"96,451",23.54
