熱画像データ, AVIO_IR_20211013_1419.SVX
測定日時, '2021/10/13,レンジ, 1
測定時間, 14:23:37, 放射率, 0.94
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"112,122",25.10
2,"112,123",25.10
3,"112,124",25.26
4,"112,125",25.23
5,"112,126",25.05
6,"112,127",24.98
7,"112,128",25.12
8,"112,129",24.96
9,"112,130",25.19
10,"112,131",25.27
11,"112,132",25.18
12,"112,133",25.20
13,"112,134",25.31
14,"112,135",25.36
15,"112,136",25.23
16,"112,137",25.17
17,"112,138",25.33
18,"112,139",25.34
19,"112,140",25.39
20,"112,141",25.29
21,"112,142",25.29
22,"111,143",25.30
23,"111,144",25.41
24,"111,145",25.47
25,"111,146",25.55
26,"111,147",25.53
27,"111,148",25.39
28,"111,149",25.36
29,"111,150",25.59
30,"111,151",25.43
31,"111,152",25.44
32,"111,153",25.41
33,"111,154",25.50
34,"111,155",25.71
35,"111,156",25.49
36,"111,157",25.55
37,"111,158",25.83
38,"111,159",25.50
39,"111,160",25.34
40,"111,161",25.56
41,"111,162",25.63
42,"111,163",25.68
43,"110,164",25.78
44,"110,165",25.97
45,"110,166",25.94
46,"110,167",25.68
47,"110,168",25.81
48,"110,169",25.71
49,"110,170",25.79
50,"110,171",25.98
51,"110,172",25.41
52,"110,173",25.84
53,"110,174",25.97
54,"110,175",26.09
55,"110,176",25.87
56,"110,177",26.11
57,"110,178",25.85
58,"110,179",26.04
59,"110,180",25.98
60,"110,181",26.07
61,"110,182",25.85
62,"110,183",25.95
63,"109,184",26.16
64,"109,185",26.09
65,"109,186",25.75
66,"109,187",26.18
67,"109,188",26.15
68,"109,189",25.98
69,"109,190",26.00
70,"109,191",26.00
71,"109,192",26.06
72,"109,193",25.90
73,"109,194",26.11
74,"109,195",26.00
75,"109,196",25.95
76,"109,197",25.93
77,"109,198",25.97
78,"109,199",25.98
79,"109,200",25.83
80,"109,201",26.11
81,"109,202",26.00
82,"109,203",25.89
83,"109,204",25.87
84,"108,205",25.90
85,"108,206",25.84
86,"108,207",25.78
87,"108,208",25.92
88,"108,209",25.92
89,"108,210",25.92
90,"108,211",25.79
91,"108,212",26.01
92,"108,213",25.70
93,"108,214",25.83
94,"108,215",25.75
95,"108,216",25.71
96,"108,217",25.87
97,"108,218",25.66
98,"108,219",25.94
99,"108,220",25.81
100,"108,221",25.92
101,"108,222",25.71
102,"108,223",25.76
103,"108,224",25.77
104,"107,225",25.67
105,"107,226",25.88
106,"107,227",25.70
107,"107,228",25.70
108,"107,229",25.64
109,"107,230",25.65
110,"107,231",25.63
111,"107,232",25.70
112,"107,233",25.66
113,"107,234",25.83
114,"107,235",25.59
115,"107,236",25.72
116,"107,237",25.64
117,"107,238",25.57
118,"107,239",25.68
119,"107,240",25.65
120,"107,241",25.59
121,"107,242",25.74
122,"107,243",25.72
123,"107,244",25.73
124,"107,245",25.67
125,"106,246",25.56
126,"106,247",25.90
127,"106,248",25.72
128,"106,249",25.59
129,"106,250",25.56
130,"106,251",25.65
131,"106,252",25.68
132,"106,253",25.42
133,"106,254",25.56
134,"106,255",25.64
135,"106,256",25.57
136,"106,257",25.52
137,"106,258",25.48
138,"106,259",25.57
139,"106,260",25.53
140,"106,261",25.51
141,"106,262",25.51
142,"106,263",25.77
143,"106,264",25.56
144,"106,265",25.61
145,"105,266",25.34
146,"105,267",25.61
147,"105,268",25.53
148,"105,269",25.36
149,"105,270",25.49
150,"105,271",25.65
151,"105,272",25.44
152,"105,273",25.48
153,"105,274",25.48
154,"105,275",25.41
155,"105,276",25.53
156,"105,277",25.50
157,"105,278",25.53
158,"105,279",25.48
159,"105,280",25.42
160,"105,281",25.92
161,"105,282",25.41
162,"105,283",25.43
163,"105,284",25.33
164,"105,285",25.50
165,"105,286",25.59
166,"104,287",25.52
167,"104,288",25.41
168,"104,289",25.63
169,"104,290",25.63
170,"104,291",25.31
171,"104,292",25.25
172,"104,293",25.31
173,"104,294",25.44
174,"104,295",25.27
175,"104,296",25.42
176,"104,297",25.44
177,"104,298",25.39
178,"104,299",25.41
179,"104,300",25.38
180,"104,301",25.38
181,"104,302",25.41
182,"104,303",25.17
183,"104,304",25.32
184,"104,305",25.50
185,"104,306",25.43
186,"104,307",25.36
187,"103,308",25.48
188,"103,309",25.20
189,"103,310",25.47
190,"103,311",25.44
191,"103,312",25.43
192,"103,313",25.29
193,"103,314",25.23
194,"103,315",25.42
195,"103,316",25.49
196,"103,317",25.34
197,"103,318",25.49
198,"103,319",25.57
199,"103,320",25.51
200,"103,321",25.50
201,"103,322",25.27
202,"103,323",25.39
203,"103,324",25.55
204,"103,325",25.32
205,"103,326",25.41
206,"103,327",25.43
207,"102,328",25.47
208,"102,329",25.47
209,"102,330",25.37
210,"102,331",25.37
211,"102,332",25.34
212,"102,333",25.44
213,"102,334",25.49
214,"102,335",25.49
215,"102,336",25.50
216,"102,337",25.50
217,"102,338",25.53
218,"102,339",25.47
219,"102,340",25.74
220,"102,341",25.60
221,"102,342",25.78
222,"102,343",25.49
223,"102,344",25.55
224,"102,345",25.57
225,"102,346",25.49
226,"102,347",25.47
227,"102,348",25.44
228,"101,349",25.43
229,"101,350",25.54
230,"101,351",25.30
231,"101,352",25.49
232,"101,353",25.48
233,"101,354",25.63
234,"101,355",25.41
235,"101,356",25.56
236,"101,357",25.44
237,"101,358",25.37
238,"101,359",25.65
239,"101,360",25.43
240,"101,361",25.70
241,"101,362",25.67
242,"101,363",25.73
243,"101,364",25.60
244,"101,365",25.60
245,"101,366",25.55
246,"101,367",25.54
247,"101,368",25.68
248,"100,369",25.63
249,"100,370",25.65
250,"100,371",25.30
251,"100,372",25.49
252,"100,373",25.56
253,"100,374",25.55
254,"100,375",25.68
255,"100,376",25.53
256,"100,377",25.53
257,"100,378",25.41
258,"100,379",25.54
259,"100,380",25.42
260,"100,381",25.30
261,"100,382",25.52
262,"100,383",25.39
263,"100,384",25.49
264,"100,385",25.53
265,"100,386",25.33
266,"100,387",25.42
267,"100,388",25.44
268,"100,389",25.50
269,"99,390",25.48
270,"99,391",25.31
271,"99,392",25.48
272,"99,393",25.29
273,"99,394",25.48
274,"99,395",25.17
275,"99,396",25.31
276,"99,397",25.34
277,"99,398",25.34
278,"99,399",25.32
279,"99,400",25.41
280,"99,401",25.32
281,"99,402",25.31
282,"99,403",25.30
283,"99,404",25.23
284,"99,405",25.29
285,"99,406",25.37
286,"99,407",25.08
287,"99,408",25.34
288,"99,409",25.19
289,"98,410",25.30
290,"98,411",25.31
