熱画像データ, AVIO_IR_20211013_1419.SVX
測定日時, '2021/10/13,レンジ, 1
測定時間, 14:21:51, 放射率, 0.94
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"112,122",26.50
2,"112,123",26.44
3,"112,124",26.87
4,"112,125",26.84
5,"112,126",26.62
6,"112,127",26.63
7,"112,128",26.65
8,"112,129",26.64
9,"112,130",26.81
10,"112,131",26.76
11,"112,132",26.63
12,"112,133",26.62
13,"112,134",27.04
14,"112,135",27.20
15,"112,136",27.03
16,"112,137",26.89
17,"112,138",26.87
18,"112,139",27.06
19,"112,140",26.90
20,"112,141",26.79
21,"112,142",26.81
22,"111,143",27.00
23,"111,144",27.17
24,"111,145",27.23
25,"111,146",27.30
26,"111,147",27.30
27,"111,148",27.21
28,"111,149",27.06
29,"111,150",27.24
30,"111,151",27.08
31,"111,152",27.27
32,"111,153",27.21
33,"111,154",27.38
34,"111,155",27.44
35,"111,156",27.49
36,"111,157",27.64
37,"111,158",27.88
38,"111,159",27.64
39,"111,160",27.54
40,"111,161",27.49
41,"111,162",27.57
42,"111,163",27.71
43,"110,164",27.81
44,"110,165",28.20
45,"110,166",28.15
46,"110,167",28.04
47,"110,168",28.02
48,"110,169",28.06
49,"110,170",28.16
50,"110,171",28.23
51,"110,172",28.21
52,"110,173",28.20
53,"110,174",28.38
54,"110,175",28.52
55,"110,176",28.37
56,"110,177",28.35
57,"110,178",28.35
58,"110,179",28.43
59,"110,180",28.53
60,"110,181",28.53
61,"110,182",28.54
62,"110,183",28.54
63,"109,184",28.65
64,"109,185",28.65
65,"109,186",28.50
66,"109,187",28.42
67,"109,188",28.79
68,"109,189",28.59
69,"109,190",28.57
70,"109,191",28.53
71,"109,192",28.45
72,"109,193",28.52
73,"109,194",28.66
74,"109,195",28.45
75,"109,196",28.50
76,"109,197",28.49
77,"109,198",28.59
78,"109,199",28.39
79,"109,200",28.49
80,"109,201",28.45
81,"109,202",28.37
82,"109,203",28.39
83,"109,204",28.35
84,"108,205",28.35
85,"108,206",28.34
86,"108,207",28.40
87,"108,208",28.19
88,"108,209",28.35
89,"108,210",28.20
90,"108,211",28.32
91,"108,212",28.33
92,"108,213",28.20
93,"108,214",28.26
94,"108,215",28.19
95,"108,216",28.19
96,"108,217",28.28
97,"108,218",28.00
98,"108,219",28.21
99,"108,220",28.11
100,"108,221",28.32
101,"108,222",28.06
102,"108,223",28.02
103,"108,224",28.07
104,"107,225",27.98
105,"107,226",28.02
106,"107,227",28.02
107,"107,228",27.96
108,"107,229",28.04
109,"107,230",27.99
110,"107,231",27.99
111,"107,232",27.98
112,"107,233",27.98
113,"107,234",27.98
114,"107,235",28.01
115,"107,236",28.07
116,"107,237",27.79
117,"107,238",27.84
118,"107,239",27.74
119,"107,240",27.86
120,"107,241",27.96
121,"107,242",27.86
122,"107,243",28.00
123,"107,244",27.94
124,"107,245",27.83
125,"106,246",27.67
126,"106,247",27.87
127,"106,248",27.74
128,"106,249",27.65
129,"106,250",27.75
130,"106,251",27.77
131,"106,252",27.75
132,"106,253",27.61
133,"106,254",27.68
134,"106,255",27.77
135,"106,256",27.62
136,"106,257",27.66
137,"106,258",27.83
138,"106,259",27.81
139,"106,260",27.72
140,"106,261",27.71
141,"106,262",27.68
142,"106,263",27.68
143,"106,264",27.83
144,"106,265",27.79
145,"105,266",27.57
146,"105,267",27.63
147,"105,268",27.67
148,"105,269",27.43
149,"105,270",27.48
150,"105,271",27.64
151,"105,272",27.62
152,"105,273",27.57
153,"105,274",27.59
154,"105,275",27.57
155,"105,276",27.62
156,"105,277",27.54
157,"105,278",27.61
158,"105,279",27.42
159,"105,280",27.54
160,"105,281",27.59
161,"105,282",27.41
162,"105,283",27.49
163,"105,284",27.49
164,"105,285",27.51
165,"105,286",27.46
166,"104,287",27.46
167,"104,288",27.46
168,"104,289",27.60
169,"104,290",27.48
170,"104,291",27.42
171,"104,292",27.45
172,"104,293",27.50
173,"104,294",27.50
174,"104,295",27.43
175,"104,296",27.57
176,"104,297",27.51
177,"104,298",27.49
178,"104,299",27.41
179,"104,300",27.49
180,"104,301",27.48
181,"104,302",27.44
182,"104,303",27.38
183,"104,304",27.31
184,"104,305",27.59
185,"104,306",27.37
186,"104,307",27.43
187,"103,308",27.61
188,"103,309",27.45
189,"103,310",27.43
190,"103,311",27.42
191,"103,312",27.37
192,"103,313",27.38
193,"103,314",27.52
194,"103,315",27.49
195,"103,316",27.45
196,"103,317",27.34
197,"103,318",27.45
198,"103,319",27.66
199,"103,320",27.52
200,"103,321",27.45
201,"103,322",27.41
202,"103,323",27.57
203,"103,324",27.50
204,"103,325",27.57
205,"103,326",27.52
206,"103,327",27.41
207,"102,328",27.55
208,"102,329",27.55
209,"102,330",27.55
210,"102,331",27.46
211,"102,332",27.46
212,"102,333",27.50
213,"102,334",27.59
214,"102,335",27.37
215,"102,336",27.54
216,"102,337",27.54
217,"102,338",27.50
218,"102,339",27.52
219,"102,340",27.55
220,"102,341",27.71
221,"102,342",27.70
222,"102,343",27.44
223,"102,344",27.57
224,"102,345",27.64
225,"102,346",27.66
226,"102,347",27.42
227,"102,348",27.63
228,"101,349",27.66
229,"101,350",27.46
230,"101,351",27.48
231,"101,352",27.65
232,"101,353",27.75
233,"101,354",27.81
234,"101,355",27.59
235,"101,356",27.64
236,"101,357",27.64
237,"101,358",27.59
238,"101,359",27.75
239,"101,360",27.54
240,"101,361",27.82
241,"101,362",27.67
242,"101,363",27.70
243,"101,364",27.82
244,"101,365",27.61
245,"101,366",27.66
246,"101,367",27.71
247,"101,368",27.72
248,"100,369",27.75
249,"100,370",27.79
250,"100,371",27.54
251,"100,372",27.50
252,"100,373",27.62
253,"100,374",27.65
254,"100,375",27.78
255,"100,376",27.57
256,"100,377",27.59
257,"100,378",27.52
258,"100,379",27.54
259,"100,380",27.52
260,"100,381",27.64
261,"100,382",27.66
262,"100,383",27.72
263,"100,384",27.57
264,"100,385",27.55
265,"100,386",27.54
266,"100,387",27.60
267,"100,388",27.50
268,"100,389",27.43
269,"99,390",27.34
270,"99,391",27.34
271,"99,392",27.46
272,"99,393",27.23
273,"99,394",27.41
274,"99,395",27.15
275,"99,396",27.40
276,"99,397",27.32
277,"99,398",27.18
278,"99,399",27.34
279,"99,400",27.09
280,"99,401",27.04
281,"99,402",26.97
282,"99,403",27.05
283,"99,404",27.04
284,"99,405",27.03
285,"99,406",27.11
286,"99,407",26.93
287,"99,408",26.95
288,"99,409",26.67
289,"98,410",26.79
290,"98,411",26.99
291,"98,412",26.84
292,"98,413",26.46
293,"98,414",27.00
294,"98,415",26.87
295,"98,416",26.85
296,"98,417",26.79
297,"98,418",26.73
298,"98,419",26.45
299,"98,420",26.72
300,"98,421",26.59
301,"98,422",26.60
302,"98,423",26.61
303,"98,424",26.60
304,"98,425",26.54
