熱画像データ, AVIO_IR_20211013_1419.SVX
測定日時, '2021/10/13,レンジ, 1
測定時間, 14:22:55, 放射率, 0.94
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"112,122",25.73
2,"112,123",25.73
3,"112,124",25.81
4,"112,125",25.94
5,"112,126",25.74
6,"112,127",25.59
7,"112,128",25.95
8,"112,129",25.53
9,"112,130",25.77
10,"112,131",25.77
11,"112,132",25.73
12,"112,133",25.68
13,"112,134",25.85
14,"112,135",26.01
15,"112,136",25.98
16,"112,137",25.83
17,"112,138",25.84
18,"112,139",25.92
19,"112,140",25.96
20,"112,141",25.81
21,"112,142",25.97
22,"111,143",25.89
23,"111,144",26.00
24,"111,145",26.14
25,"111,146",26.22
26,"111,147",26.21
27,"111,148",25.97
28,"111,149",25.97
29,"111,150",26.12
30,"111,151",26.18
31,"111,152",26.23
32,"111,153",25.93
33,"111,154",26.21
34,"111,155",26.37
35,"111,156",26.15
36,"111,157",26.37
37,"111,158",26.46
38,"111,159",26.29
39,"111,160",26.20
40,"111,161",26.30
41,"111,162",26.25
42,"111,163",26.43
43,"110,164",26.53
44,"110,165",26.65
45,"110,166",26.72
46,"110,167",26.61
47,"110,168",26.49
48,"110,169",26.50
49,"110,170",26.65
50,"110,171",26.73
51,"110,172",26.68
52,"110,173",26.84
53,"110,174",26.78
54,"110,175",26.78
55,"110,176",26.63
56,"110,177",26.94
57,"110,178",26.90
58,"110,179",26.68
59,"110,180",26.78
60,"110,181",26.89
61,"110,182",26.72
62,"110,183",26.89
63,"109,184",26.90
64,"109,185",26.84
65,"109,186",26.88
66,"109,187",26.93
67,"109,188",27.05
68,"109,189",26.88
69,"109,190",26.77
70,"109,191",26.87
71,"109,192",26.65
72,"109,193",26.88
73,"109,194",26.88
74,"109,195",26.73
75,"109,196",26.70
76,"109,197",26.82
77,"109,198",26.84
78,"109,199",26.77
79,"109,200",26.77
80,"109,201",26.82
81,"109,202",26.76
82,"109,203",26.74
83,"109,204",26.72
84,"108,205",26.76
85,"108,206",26.72
86,"108,207",26.77
87,"108,208",26.70
88,"108,209",26.74
89,"108,210",26.77
90,"108,211",26.68
91,"108,212",26.79
92,"108,213",26.55
93,"108,214",26.66
94,"108,215",26.62
95,"108,216",26.59
96,"108,217",26.70
97,"108,218",26.45
98,"108,219",26.83
99,"108,220",26.62
100,"108,221",26.68
101,"108,222",26.44
102,"108,223",26.62
103,"108,224",26.63
104,"107,225",26.56
105,"107,226",26.64
106,"107,227",26.59
107,"107,228",26.61
108,"107,229",26.50
109,"107,230",26.54
110,"107,231",26.41
111,"107,232",26.49
112,"107,233",26.54
113,"107,234",26.51
114,"107,235",26.26
115,"107,236",26.53
116,"107,237",26.43
117,"107,238",26.33
