熱画像データ, AVIO_IR_20211013_1419.SVX
測定日時, '2021/10/13,レンジ, 1
測定時間, 14:30:35, 放射率, 0.94
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"112,122",23.70
2,"112,123",23.78
3,"112,124",23.92
4,"112,125",23.88
5,"112,126",23.82
6,"112,127",23.84
7,"112,128",23.85
8,"112,129",23.67
9,"112,130",23.88
10,"112,131",23.73
11,"112,132",23.77
12,"112,133",23.77
13,"112,134",23.84
14,"112,135",24.00
15,"112,136",23.77
16,"112,137",23.82
17,"112,138",23.97
18,"112,139",23.99
19,"112,140",23.85
20,"112,141",23.91
21,"112,142",23.95
22,"111,143",23.84
23,"111,144",23.85
24,"111,145",23.93
25,"111,146",23.93
26,"111,147",23.93
27,"111,148",23.87
28,"111,149",23.74
29,"111,150",23.83
30,"111,151",23.78
31,"111,152",24.03
32,"111,153",23.72
33,"111,154",23.76
34,"111,155",23.89
35,"111,156",23.81
36,"111,157",23.81
37,"111,158",24.07
38,"111,159",23.86
39,"111,160",23.85
40,"111,161",23.84
41,"111,162",23.84
42,"111,163",23.97
43,"110,164",23.82
44,"110,165",24.04
45,"110,166",24.09
46,"110,167",23.91
47,"110,168",23.77
48,"110,169",23.92
49,"110,170",23.87
50,"110,171",24.00
51,"110,172",23.99
52,"110,173",23.96
53,"110,174",23.95
54,"110,175",24.14
55,"110,176",23.97
56,"110,177",24.00
57,"110,178",23.74
58,"110,179",23.77
59,"110,180",24.01
60,"110,181",23.99
61,"110,182",23.94
62,"110,183",23.83
63,"109,184",24.08
64,"109,185",23.82
65,"109,186",23.95
66,"109,187",23.82
67,"109,188",24.00
68,"109,189",23.71
69,"109,190",23.82
70,"109,191",23.85
71,"109,192",23.93
72,"109,193",23.86
73,"109,194",23.92
74,"109,195",23.72
75,"109,196",24.01
76,"109,197",24.11
77,"109,198",23.74
78,"109,199",23.95
79,"109,200",23.78
80,"109,201",23.88
