熱画像データ, AVIO_IR_20211013_1419.SVX
測定日時, '2021/10/13,レンジ, 1
測定時間, 14:22:15, 放射率, 0.94
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"112,122",26.11
2,"112,123",26.08
3,"112,124",26.32
4,"112,125",26.40
5,"112,126",26.29
6,"112,127",26.18
7,"112,128",26.26
8,"112,129",26.19
9,"112,130",26.44
10,"112,131",26.30
11,"112,132",26.28
12,"112,133",26.14
13,"112,134",26.43
14,"112,135",26.62
15,"112,136",26.45
16,"112,137",26.43
17,"112,138",26.49
18,"112,139",26.49
19,"112,140",26.35
20,"112,141",26.23
21,"112,142",26.44
22,"111,143",26.40
23,"111,144",26.64
24,"111,145",26.76
25,"111,146",26.82
26,"111,147",26.62
27,"111,148",26.64
28,"111,149",26.54
29,"111,150",26.84
30,"111,151",26.45
31,"111,152",26.60
32,"111,153",26.55
33,"111,154",26.78
34,"111,155",26.86
35,"111,156",26.84
36,"111,157",27.09
37,"111,158",27.26
38,"111,159",27.04
39,"111,160",26.94
40,"111,161",27.04
41,"111,162",26.84
42,"111,163",27.03
43,"110,164",27.12
44,"110,165",27.48
45,"110,166",27.52
46,"110,167",27.30
47,"110,168",27.37
48,"110,169",27.42
49,"110,170",27.48
50,"110,171",27.54
51,"110,172",27.57
52,"110,173",27.51
53,"110,174",27.59
54,"110,175",27.63
55,"110,176",27.78
56,"110,177",27.77
57,"110,178",27.59
58,"110,179",27.75
59,"110,180",27.75
60,"110,181",27.75
61,"110,182",27.67
62,"110,183",27.67
63,"109,184",27.88
64,"109,185",27.75
65,"109,186",27.70
66,"109,187",27.67
67,"109,188",27.97
68,"109,189",27.86
69,"109,190",27.84
70,"109,191",27.82
71,"109,192",27.81
72,"109,193",27.78
73,"109,194",27.77
74,"109,195",27.75
75,"109,196",27.81
76,"109,197",27.72
77,"109,198",27.74
78,"109,199",27.77
79,"109,200",27.68
80,"109,201",27.71
81,"109,202",27.70
82,"109,203",27.63
83,"109,204",27.62
84,"108,205",27.67
85,"108,206",27.65
86,"108,207",27.67
87,"108,208",27.61
88,"108,209",27.70
89,"108,210",27.63
90,"108,211",27.63
91,"108,212",27.57
92,"108,213",27.55
93,"108,214",27.48
94,"108,215",27.46
95,"108,216",27.52
96,"108,217",27.60
97,"108,218",27.57
98,"108,219",27.51
99,"108,220",27.38
100,"108,221",27.61
101,"108,222",27.42
102,"108,223",27.15
103,"108,224",27.46
104,"107,225",27.30
105,"107,226",27.33
106,"107,227",27.33
107,"107,228",27.33
108,"107,229",27.30
109,"107,230",27.30
110,"107,231",27.23
111,"107,232",27.27
112,"107,233",27.32
113,"107,234",27.33
114,"107,235",27.37
115,"107,236",27.46
116,"107,237",27.09
117,"107,238",27.03
118,"107,239",27.11
119,"107,240",27.15
120,"107,241",27.24
121,"107,242",27.23
122,"107,243",27.21
123,"107,244",27.12
124,"107,245",27.18
125,"106,246",27.12
126,"106,247",27.17
127,"106,248",27.14
128,"106,249",27.20
129,"106,250",27.09
130,"106,251",27.24
131,"106,252",27.17
132,"106,253",27.08
133,"106,254",27.04
134,"106,255",27.11
135,"106,256",26.96
136,"106,257",27.08
137,"106,258",27.31
138,"106,259",27.01
139,"106,260",27.06
140,"106,261",27.05
141,"106,262",27.06
142,"106,263",27.08
143,"106,264",27.15
144,"106,265",27.01
145,"105,266",26.96
146,"105,267",27.01
147,"105,268",27.10
148,"105,269",26.90
149,"105,270",26.88
150,"105,271",26.98
151,"105,272",26.97
152,"105,273",26.85
153,"105,274",26.97
154,"105,275",26.96
155,"105,276",27.05
156,"105,277",26.87
157,"105,278",27.12
158,"105,279",26.95
159,"105,280",27.01
160,"105,281",26.95
161,"105,282",26.83
162,"105,283",26.88
163,"105,284",26.88
164,"105,285",26.88
165,"105,286",26.96
166,"104,287",26.96
167,"104,288",27.01
168,"104,289",27.01
169,"104,290",26.89
170,"104,291",26.97
171,"104,292",26.97
172,"104,293",26.93
173,"104,294",26.86
174,"104,295",26.85
175,"104,296",26.90
176,"104,297",26.95
177,"104,298",26.96
178,"104,299",26.93
179,"104,300",26.74
180,"104,301",26.88
181,"104,302",26.83
182,"104,303",26.77
183,"104,304",26.76
184,"104,305",27.03
185,"104,306",26.78
186,"104,307",26.89
187,"103,308",26.86
188,"103,309",26.97
189,"103,310",26.85
190,"103,311",26.82
191,"103,312",26.72
192,"103,313",26.93
193,"103,314",26.94
194,"103,315",26.84
