熱画像データ, AVIO_IR_20211013_1419.SVX
測定日時, '2021/10/13,レンジ, 1
測定時間, 14:31:13, 放射率, 0.94
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"112,122",23.53
2,"112,123",23.54
3,"112,124",23.77
4,"112,125",23.56
5,"112,126",23.63
6,"112,127",23.61
7,"112,128",23.63
8,"112,129",23.50
9,"112,130",23.71
10,"112,131",23.47
11,"112,132",23.47
12,"112,133",23.72
13,"112,134",23.61
14,"112,135",23.73
15,"112,136",23.67
16,"112,137",23.63
17,"112,138",23.63
18,"112,139",23.63
19,"112,140",23.63
20,"112,141",23.66
21,"112,142",23.71
22,"111,143",23.56
23,"111,144",23.58
24,"111,145",23.71
25,"111,146",23.61
26,"111,147",23.50
27,"111,148",23.70
28,"111,149",23.47
29,"111,150",23.78
30,"111,151",23.63
31,"111,152",23.86
32,"111,153",23.47
33,"111,154",23.69
34,"111,155",23.67
35,"111,156",23.65
36,"111,157",23.65
37,"111,158",23.85
38,"111,159",23.63
39,"111,160",23.65
40,"111,161",23.77
41,"111,162",23.67
42,"111,163",23.70
43,"110,164",23.72
44,"110,165",23.92
45,"110,166",23.84
46,"110,167",23.82
47,"110,168",23.89
48,"110,169",23.75
49,"110,170",23.70
50,"110,171",24.05
51,"110,172",23.77
52,"110,173",23.72
53,"110,174",23.78
54,"110,175",23.93
55,"110,176",23.74
56,"110,177",23.78
57,"110,178",23.49
58,"110,179",23.54
59,"110,180",23.82
60,"110,181",23.81
61,"110,182",23.75
62,"110,183",23.64
63,"109,184",23.72
64,"109,185",23.63
65,"109,186",23.81
66,"109,187",23.73
67,"109,188",23.67
68,"109,189",23.64
69,"109,190",23.75
70,"109,191",23.51
71,"109,192",23.73
72,"109,193",23.75
73,"109,194",23.82
74,"109,195",23.70
75,"109,196",23.66
76,"109,197",23.83
77,"109,198",23.78
78,"109,199",23.74
79,"109,200",23.72
80,"109,201",23.74
81,"109,202",23.73
82,"109,203",23.75
