熱画像データ, AVIO_IR_20211013_1419.SVX
測定日時, '2021/10/13,レンジ, 1
測定時間, 14:33:09, 放射率, 0.94
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"112,122",23.08
2,"112,123",23.26
3,"112,124",23.34
4,"112,125",23.17
5,"112,126",23.15
6,"112,127",23.20
7,"112,128",23.26
8,"112,129",22.95
9,"112,130",23.23
10,"112,131",23.08
11,"112,132",23.15
12,"112,133",23.22
13,"112,134",23.32
14,"112,135",23.42
15,"112,136",23.18
16,"112,137",23.13
17,"112,138",23.29
18,"112,139",23.23
19,"112,140",23.33
20,"112,141",23.27
21,"112,142",23.23
22,"111,143",23.30
23,"111,144",23.27
24,"111,145",23.21
25,"111,146",23.15
26,"111,147",23.29
27,"111,148",23.27
28,"111,149",23.00
29,"111,150",23.36
30,"111,151",23.22
31,"111,152",23.45
32,"111,153",23.00
33,"111,154",23.34
34,"111,155",23.23
35,"111,156",23.22
36,"111,157",23.30
37,"111,158",23.45
38,"111,159",23.28
39,"111,160",23.28
40,"111,161",23.22
41,"111,162",23.40
42,"111,163",23.14
43,"110,164",23.33
44,"110,165",23.34
45,"110,166",23.38
46,"110,167",23.42
47,"110,168",23.33
48,"110,169",23.26
49,"110,170",23.11
50,"110,171",23.48
51,"110,172",23.32
52,"110,173",23.33
53,"110,174",23.26
54,"110,175",23.45
55,"110,176",23.27
56,"110,177",23.49
57,"110,178",22.99
58,"110,179",23.10
59,"110,180",23.17
60,"110,181",23.32
61,"110,182",23.17
62,"110,183",23.28
63,"109,184",23.44
64,"109,185",23.18
65,"109,186",23.40
66,"109,187",23.30
67,"109,188",23.29
68,"109,189",23.20
69,"109,190",23.36
70,"109,191",23.15
71,"109,192",23.40
72,"109,193",23.27
73,"109,194",23.44
74,"109,195",23.19
75,"109,196",23.11
76,"109,197",23.41
77,"109,198",23.33
78,"109,199",23.38
79,"109,200",23.26
80,"109,201",23.27
81,"109,202",23.28
82,"109,203",23.40
83,"109,204",23.40
84,"108,205",23.29
85,"108,206",23.26
86,"108,207",23.27
87,"108,208",23.30
88,"108,209",23.27
89,"108,210",23.27
90,"108,211",23.27
91,"108,212",23.27
92,"108,213",23.23
93,"108,214",23.18
94,"108,215",23.21
95,"108,216",23.18
96,"108,217",23.37
97,"108,218",23.13
98,"108,219",23.29
99,"108,220",23.22
100,"108,221",23.33
101,"108,222",23.15
102,"108,223",23.17
103,"108,224",23.38
104,"107,225",23.16
105,"107,226",23.27
106,"107,227",23.20
107,"107,228",23.17
108,"107,229",23.23
109,"107,230",23.17
110,"107,231",23.21
111,"107,232",23.26
112,"107,233",23.23
113,"107,234",23.45
114,"107,235",23.11
115,"107,236",23.30
116,"107,237",22.99
117,"107,238",22.76
118,"107,239",23.08
119,"107,240",23.21
120,"107,241",23.17
121,"107,242",23.39
122,"107,243",23.38
123,"107,244",23.20
124,"107,245",23.10
125,"106,246",23.28
126,"106,247",23.23
127,"106,248",23.48
128,"106,249",23.17
129,"106,250",23.20
130,"106,251",23.22
131,"106,252",23.31
132,"106,253",23.18
133,"106,254",23.16
134,"106,255",23.17
135,"106,256",23.10
136,"106,257",23.15
137,"106,258",23.20
138,"106,259",23.21
139,"106,260",23.26
140,"106,261",23.16
141,"106,262",23.08
142,"106,263",23.39
143,"106,264",23.29
144,"106,265",23.15
145,"105,266",23.31
146,"105,267",23.27
147,"105,268",23.18
148,"105,269",23.15
149,"105,270",23.08
150,"105,271",22.86
151,"105,272",23.19
152,"105,273",23.21
153,"105,274",23.23
154,"105,275",23.23
155,"105,276",23.19
156,"105,277",23.05
157,"105,278",23.29
158,"105,279",23.18
159,"105,280",23.11
160,"105,281",23.29
161,"105,282",23.23
162,"105,283",23.15
163,"105,284",23.34
164,"105,285",23.10
165,"105,286",23.16
166,"104,287",23.40
167,"104,288",23.28
168,"104,289",23.27
169,"104,290",23.04
170,"104,291",23.02
171,"104,292",23.29
172,"104,293",23.08
173,"104,294",23.10
174,"104,295",23.00
175,"104,296",23.32
176,"104,297",23.14
177,"104,298",23.19
178,"104,299",23.21
179,"104,300",22.53
180,"104,301",23.14
181,"104,302",23.21
182,"104,303",23.14
183,"104,304",23.16
184,"104,305",23.32
