熱画像データ, AVIO_IR_20211013_1419.SVX
測定日時, '2021/10/13,レンジ, 1
測定時間, 14:29:33, 放射率, 0.94
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"112,122",23.08
2,"112,123",22.95
3,"112,124",23.11
4,"112,125",23.11
5,"112,126",23.09
6,"112,127",22.94
7,"112,128",23.08
8,"112,129",22.91
9,"112,130",23.04
10,"112,131",22.97
11,"112,132",23.00
12,"112,133",22.99
13,"112,134",22.87
14,"112,135",23.06
15,"112,136",22.94
16,"112,137",22.89
17,"112,138",23.10
18,"112,139",23.04
19,"112,140",23.10
20,"112,141",22.96
21,"112,142",22.94
22,"111,143",23.13
23,"111,144",22.99
24,"111,145",22.88
25,"111,146",23.11
26,"111,147",23.22
27,"111,148",22.88
28,"111,149",23.02
29,"111,150",23.16
30,"111,151",23.11
31,"111,152",23.33
32,"111,153",22.81
33,"111,154",22.87
34,"111,155",23.08
35,"111,156",23.11
36,"111,157",22.99
37,"111,158",23.26
38,"111,159",22.92
39,"111,160",23.09
40,"111,161",22.98
41,"111,162",23.02
42,"111,163",23.18
43,"110,164",23.04
44,"110,165",23.08
45,"110,166",23.08
46,"110,167",23.03
47,"110,168",23.09
48,"110,169",22.97
49,"110,170",23.08
50,"110,171",23.09
51,"110,172",23.09
52,"110,173",23.08
53,"110,174",23.27
54,"110,175",23.14
55,"110,176",23.06
56,"110,177",23.17
57,"110,178",22.83
58,"110,179",22.89
59,"110,180",23.02
60,"110,181",23.09
61,"110,182",22.98
62,"110,183",23.13
63,"109,184",23.08
64,"109,185",22.99
65,"109,186",23.09
66,"109,187",23.03
67,"109,188",23.11
68,"109,189",22.98
69,"109,190",23.09
70,"109,191",23.13
71,"109,192",23.14
72,"109,193",23.16
73,"109,194",23.16
74,"109,195",23.10
75,"109,196",23.14
76,"109,197",23.19
77,"109,198",23.08
78,"109,199",23.00
79,"109,200",23.05
80,"109,201",23.05
81,"109,202",23.04
82,"109,203",23.17
83,"109,204",23.06
84,"108,205",23.18
85,"108,206",23.03
86,"108,207",23.04
87,"108,208",23.11
88,"108,209",23.29
89,"108,210",23.04
90,"108,211",23.08
91,"108,212",23.05
92,"108,213",22.96
93,"108,214",23.06
94,"108,215",23.00
95,"108,216",22.87
96,"108,217",22.97
97,"108,218",23.04
