熱画像データ, AVIO_IR_20211013_1419.SVX
測定日時, '2021/10/13,レンジ, 1
測定時間, 14:24:35, 放射率, 0.94
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"112,122",24.60
2,"112,123",24.50
3,"112,124",24.64
4,"112,125",24.59
5,"112,126",24.56
6,"112,127",24.56
7,"112,128",24.55
8,"112,129",24.54
9,"112,130",24.55
10,"112,131",24.55
11,"112,132",24.55
12,"112,133",24.59
13,"112,134",24.62
14,"112,135",24.74
15,"112,136",24.67
16,"112,137",24.49
17,"112,138",24.56
18,"112,139",24.67
19,"112,140",24.78
20,"112,141",24.63
21,"112,142",24.63
22,"111,143",24.69
23,"111,144",24.63
24,"111,145",24.86
25,"111,146",24.73
26,"111,147",24.69
27,"111,148",24.66
28,"111,149",24.71
29,"111,150",24.76
30,"111,151",24.78
31,"111,152",24.71
32,"111,153",24.74
33,"111,154",24.71
34,"111,155",24.84
35,"111,156",24.67
36,"111,157",24.77
37,"111,158",25.08
38,"111,159",24.88
39,"111,160",24.85
40,"111,161",24.82
41,"111,162",24.82
42,"111,163",24.78
43,"110,164",24.88
44,"110,165",25.00
45,"110,166",25.01
46,"110,167",24.95
47,"110,168",24.92
48,"110,169",24.90
49,"110,170",24.98
50,"110,171",25.12
51,"110,172",24.98
52,"110,173",24.96
53,"110,174",25.14
54,"110,175",24.95
55,"110,176",24.89
56,"110,177",25.16
57,"110,178",25.09
58,"110,179",25.01
59,"110,180",24.98
60,"110,181",25.14
61,"110,182",25.14
62,"110,183",25.11
63,"109,184",25.21
64,"109,185",25.15
65,"109,186",25.12
66,"109,187",25.08
67,"109,188",25.18
68,"109,189",24.97
69,"109,190",25.08
70,"109,191",25.10
71,"109,192",25.08
72,"109,193",25.10
73,"109,194",25.12
74,"109,195",25.05
75,"109,196",24.89
76,"109,197",25.10
77,"109,198",25.06
78,"109,199",25.06
79,"109,200",25.18
80,"109,201",25.20
81,"109,202",24.95
82,"109,203",25.00
83,"109,204",25.06
84,"108,205",24.96
85,"108,206",24.95
86,"108,207",24.95
87,"108,208",25.03
88,"108,209",25.03
89,"108,210",25.08
90,"108,211",24.88
91,"108,212",24.95
92,"108,213",24.78
93,"108,214",24.97
94,"108,215",24.96
95,"108,216",24.85
96,"108,217",25.03
97,"108,218",24.63
98,"108,219",25.12
99,"108,220",24.98
100,"108,221",25.04
101,"108,222",24.85
102,"108,223",24.88
103,"108,224",24.90
104,"107,225",24.90
105,"107,226",24.90
106,"107,227",24.74
107,"107,228",24.85
108,"107,229",24.81
109,"107,230",24.81
110,"107,231",24.76
111,"107,232",24.86
112,"107,233",24.73
113,"107,234",24.82
114,"107,235",24.71
115,"107,236",24.88
116,"107,237",24.82
117,"107,238",24.78
118,"107,239",24.84
119,"107,240",24.72
120,"107,241",24.74
121,"107,242",24.82
122,"107,243",24.89
123,"107,244",24.76
124,"107,245",24.82
125,"106,246",24.71
126,"106,247",24.89
127,"106,248",24.76
128,"106,249",24.76
129,"106,250",24.76
130,"106,251",24.78
131,"106,252",24.78
132,"106,253",24.40
133,"106,254",24.72
134,"106,255",24.83
135,"106,256",24.69
136,"106,257",24.69
137,"106,258",24.69
138,"106,259",24.74
139,"106,260",24.72
140,"106,261",24.71
141,"106,262",24.60
142,"106,263",24.54
143,"106,264",24.85
144,"106,265",24.79
145,"105,266",24.69
146,"105,267",24.76
147,"105,268",24.66
148,"105,269",24.59
149,"105,270",24.62
150,"105,271",24.79
151,"105,272",24.67
152,"105,273",24.65
153,"105,274",24.65
154,"105,275",24.66
155,"105,276",24.71
156,"105,277",24.63
157,"105,278",24.74
158,"105,279",24.71
159,"105,280",24.58
160,"105,281",24.71
161,"105,282",24.55
162,"105,283",24.58
163,"105,284",24.63
164,"105,285",24.51
165,"105,286",24.61
166,"104,287",24.76
167,"104,288",24.71
168,"104,289",24.71
169,"104,290",24.71
170,"104,291",24.67
171,"104,292",24.67
172,"104,293",24.56
173,"104,294",24.62
174,"104,295",24.41
175,"104,296",24.65
176,"104,297",24.72
177,"104,298",24.72
178,"104,299",24.71
179,"104,300",24.49
180,"104,301",24.54
181,"104,302",24.66
182,"104,303",24.37
183,"104,304",24.62
184,"104,305",24.69
185,"104,306",24.62
186,"104,307",24.72
187,"103,308",24.69
188,"103,309",24.52
189,"103,310",24.84
190,"103,311",24.81
191,"103,312",24.61
192,"103,313",24.59
193,"103,314",24.71
194,"103,315",24.60
195,"103,316",24.74
196,"103,317",24.54
197,"103,318",24.62
198,"103,319",24.76
199,"103,320",24.71
200,"103,321",24.73
201,"103,322",24.52
202,"103,323",24.76
203,"103,324",24.71
204,"103,325",24.65
205,"103,326",24.88
206,"103,327",24.44
207,"102,328",24.72
208,"102,329",24.74
209,"102,330",24.64
210,"102,331",24.78
211,"102,332",24.66
212,"102,333",24.65
213,"102,334",24.71
214,"102,335",24.67
215,"102,336",24.71
216,"102,337",24.73
217,"102,338",24.71
218,"102,339",24.65
219,"102,340",24.94
220,"102,341",24.82
221,"102,342",24.95
222,"102,343",24.65
223,"102,344",24.78
224,"102,345",24.71
225,"102,346",24.65
226,"102,347",24.74
227,"102,348",24.76
228,"101,349",24.74
229,"101,350",24.83
230,"101,351",24.71
231,"101,352",24.71
232,"101,353",24.84
233,"101,354",24.84
234,"101,355",24.65
235,"101,356",24.84
236,"101,357",24.76
237,"101,358",24.62
238,"101,359",24.92
239,"101,360",24.49
240,"101,361",24.97
241,"101,362",24.82
242,"101,363",25.03
243,"101,364",25.00
244,"101,365",24.67
245,"101,366",24.78
246,"101,367",24.78
247,"101,368",24.78
248,"100,369",24.74
249,"100,370",24.92
250,"100,371",24.66
251,"100,372",24.67
252,"100,373",24.69
253,"100,374",24.71
254,"100,375",24.73
255,"100,376",24.73
256,"100,377",24.89
257,"100,378",24.78
258,"100,379",24.74
259,"100,380",24.71
260,"100,381",24.64
261,"100,382",24.83
262,"100,383",24.69
263,"100,384",24.69
264,"100,385",24.44
265,"100,386",24.67
266,"100,387",24.77
267,"100,388",24.71
268,"100,389",24.69
269,"99,390",24.67
270,"99,391",24.73
271,"99,392",24.79
272,"99,393",24.76
273,"99,394",24.72
274,"99,395",24.45
275,"99,396",24.67
276,"99,397",24.72
277,"99,398",24.74
278,"99,399",24.71
279,"99,400",24.62
280,"99,401",24.59
281,"99,402",24.64
282,"99,403",24.71
283,"99,404",24.66
284,"99,405",24.64
285,"99,406",24.76
286,"99,407",24.45
287,"99,408",24.66
288,"99,409",24.54
289,"98,410",24.67
290,"98,411",24.62
291,"98,412",24.73
292,"98,413",24.59
293,"98,414",24.59
294,"98,415",24.64
295,"98,416",24.83
296,"98,417",24.82
297,"98,418",24.47
298,"98,419",24.50
299,"98,420",24.61
300,"98,421",24.55
301,"98,422",24.56
302,"98,423",24.63
303,"98,424",24.45
304,"98,425",24.48
305,"98,426",24.76
306,"98,427",24.45
307,"98,428",24.51
308,"98,429",24.55
309,"98,430",24.37
310,"97,431",24.58
311,"97,432",24.56
312,"97,433",24.41
313,"97,434",24.38
314,"97,435",24.21
315,"97,436",24.31
316,"97,437",24.36
317,"97,438",24.48
318,"97,439",24.48
319,"97,440",24.43
320,"97,441",24.38
321,"97,442",24.59
322,"97,443",24.59
323,"97,444",24.32
324,"97,445",24.38
325,"97,446",24.38
326,"97,447",24.40
327,"97,448",24.32
328,"97,449",24.32
329,"97,450",24.38
330,"96,451",24.27
