熱画像データ, AVIO_IR_20211013_1419.SVX
測定日時, '2021/10/13,レンジ, 1
測定時間, 14:24:39, 放射率, 0.94
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"112,122",24.54
2,"112,123",24.64
3,"112,124",24.59
4,"112,125",24.65
5,"112,126",24.50
6,"112,127",24.54
7,"112,128",24.64
8,"112,129",23.93
9,"112,130",24.59
10,"112,131",24.55
11,"112,132",24.56
12,"112,133",24.61
13,"112,134",24.63
14,"112,135",24.82
15,"112,136",24.60
16,"112,137",24.64
17,"112,138",24.50
18,"112,139",24.71
19,"112,140",24.72
20,"112,141",24.65
21,"112,142",24.59
22,"111,143",24.71
23,"111,144",24.78
24,"111,145",24.82
25,"111,146",24.88
26,"111,147",24.71
27,"111,148",24.88
28,"111,149",24.73
29,"111,150",24.82
30,"111,151",24.71
31,"111,152",24.69
32,"111,153",24.67
33,"111,154",24.76
34,"111,155",24.71
35,"111,156",24.65
36,"111,157",24.88
37,"111,158",25.11
38,"111,159",24.84
39,"111,160",24.85
40,"111,161",24.84
41,"111,162",24.88
42,"111,163",24.90
43,"110,164",24.88
44,"110,165",25.08
45,"110,166",25.14
46,"110,167",25.00
47,"110,168",24.97
48,"110,169",25.00
49,"110,170",24.99
50,"110,171",25.09
51,"110,172",24.90
52,"110,173",25.04
53,"110,174",25.08
54,"110,175",25.08
55,"110,176",25.08
56,"110,177",25.18
57,"110,178",25.12
58,"110,179",25.06
59,"110,180",25.08
60,"110,181",25.17
61,"110,182",25.06
62,"110,183",25.11
63,"109,184",25.11
64,"109,185",25.09
65,"109,186",25.08
66,"109,187",25.16
67,"109,188",25.33
68,"109,189",25.08
69,"109,190",24.98
70,"109,191",25.01
71,"109,192",25.00
72,"109,193",24.95
73,"109,194",25.15
74,"109,195",25.12
75,"109,196",24.88
76,"109,197",25.20
77,"109,198",25.16
78,"109,199",25.18
79,"109,200",25.06
80,"109,201",25.19
81,"109,202",25.05
82,"109,203",25.08
83,"109,204",25.06
84,"108,205",25.12
85,"108,206",25.08
86,"108,207",24.94
87,"108,208",24.95
88,"108,209",25.00
89,"108,210",25.03
90,"108,211",25.03
91,"108,212",25.08
92,"108,213",24.90
93,"108,214",25.03
94,"108,215",25.05
95,"108,216",24.92
96,"108,217",24.99
97,"108,218",24.88
98,"108,219",25.11
99,"108,220",25.01
100,"108,221",25.12
101,"108,222",24.90
102,"108,223",24.98
103,"108,224",24.98
104,"107,225",24.74
105,"107,226",25.00
106,"107,227",24.77
107,"107,228",24.88
108,"107,229",24.95
109,"107,230",24.95
110,"107,231",24.77
111,"107,232",24.95
112,"107,233",24.89
113,"107,234",24.95
114,"107,235",24.71
115,"107,236",25.03
116,"107,237",24.81
117,"107,238",24.76
118,"107,239",24.85
119,"107,240",24.90
120,"107,241",24.86
121,"107,242",24.82
122,"107,243",25.00
123,"107,244",24.76
124,"107,245",24.88
125,"106,246",24.77
126,"106,247",25.03
127,"106,248",24.84
128,"106,249",24.76
129,"106,250",24.76
130,"106,251",24.76
131,"106,252",24.74
132,"106,253",24.71
133,"106,254",24.72
134,"106,255",24.97
135,"106,256",24.72
136,"106,257",24.72
137,"106,258",24.77
138,"106,259",24.76
139,"106,260",24.76
140,"106,261",24.74
141,"106,262",24.66
142,"106,263",25.06
143,"106,264",24.76
144,"106,265",24.76
145,"105,266",24.74
146,"105,267",24.76
147,"105,268",24.73
148,"105,269",24.55
149,"105,270",24.77
150,"105,271",24.94
