熱画像データ, AVIO_IR_20211013_1419.SVX
測定日時, '2021/10/13,レンジ, 1
測定時間, 14:25:59, 放射率, 0.94
T.max, 60.0, イメージモード, 中
T.min, -20.0,レンズ設定, 標準
No.,x/y,A
1,"112,122",24.17
2,"112,123",24.32
3,"112,124",24.27
4,"112,125",24.26
5,"112,126",24.26
6,"112,127",24.21
7,"112,128",24.27
8,"112,129",24.08
9,"112,130",24.28
10,"112,131",24.26
11,"112,132",24.27
12,"112,133",24.27
13,"112,134",24.31
14,"112,135",24.36
15,"112,136",24.17
16,"112,137",24.21
17,"112,138",24.36
18,"112,139",24.39
19,"112,140",24.28
20,"112,141",24.34
21,"112,142",24.34
22,"111,143",24.27
23,"111,144",24.40
24,"111,145",24.50
25,"111,146",24.37
26,"111,147",24.34
27,"111,148",24.34
28,"111,149",24.42
29,"111,150",24.27
30,"111,151",24.39
31,"111,152",24.42
32,"111,153",24.22
33,"111,154",24.36
34,"111,155",24.48
35,"111,156",24.29
36,"111,157",24.37
37,"111,158",24.72
38,"111,159",24.45
39,"111,160",24.36
40,"111,161",24.44
41,"111,162",24.41
42,"111,163",24.42
43,"110,164",24.50
44,"110,165",24.50
45,"110,166",24.52
46,"110,167",24.54
47,"110,168",24.49
48,"110,169",24.47
49,"110,170",24.42
50,"110,171",24.71
51,"110,172",24.39
52,"110,173",24.47
53,"110,174",24.71
54,"110,175",24.62
55,"110,176",24.60
56,"110,177",24.58
57,"110,178",24.54
58,"110,179",24.49
59,"110,180",24.43
60,"110,181",24.64
61,"110,182",24.44
62,"110,183",24.55
63,"109,184",24.72
64,"109,185",24.52
65,"109,186",24.50
66,"109,187",24.54
67,"109,188",24.76
68,"109,189",24.44
69,"109,190",24.54
70,"109,191",24.49
71,"109,192",24.43
72,"109,193",24.60
73,"109,194",24.59
74,"109,195",24.59
75,"109,196",24.44
76,"109,197",24.58
77,"109,198",24.55
78,"109,199",24.64
79,"109,200",24.58
80,"109,201",24.66
81,"109,202",24.59
82,"109,203",24.54
83,"109,204",24.54
84,"108,205",24.31
85,"108,206",24.47
86,"108,207",24.38
87,"108,208",24.52
88,"108,209",24.52
89,"108,210",24.59
90,"108,211",24.40
91,"108,212",24.42
92,"108,213",24.31
93,"108,214",24.45
94,"108,215",24.30
95,"108,216",24.32
96,"108,217",24.54
97,"108,218",24.51
98,"108,219",24.72
99,"108,220",24.45
100,"108,221",24.45
101,"108,222",24.36
102,"108,223",24.18
103,"108,224",24.44
104,"107,225",24.39
105,"107,226",24.55
106,"107,227",24.39
107,"107,228",24.25
108,"107,229",24.88
109,"107,230",24.41
110,"107,231",24.38
111,"107,232",24.49
112,"107,233",24.40
113,"107,234",24.50
114,"107,235",24.21
115,"107,236",24.51
116,"107,237",24.44
117,"107,238",24.42
118,"107,239",24.37
119,"107,240",24.39
120,"107,241",24.47
121,"107,242",24.41
122,"107,243",24.55
123,"107,244",24.43
124,"107,245",24.44
125,"106,246",24.29
126,"106,247",24.60
127,"106,248",24.38
128,"106,249",24.38
129,"106,250",24.47
130,"106,251",24.51
131,"106,252",24.43
132,"106,253",24.22
133,"106,254",24.40
134,"106,255",24.47
135,"106,256",24.29
136,"106,257",24.19
137,"106,258",24.36
138,"106,259",24.37
139,"106,260",24.34
140,"106,261",24.34
141,"106,262",24.32
142,"106,263",24.60
143,"106,264",24.41
144,"106,265",24.41
145,"105,266",24.29
146,"105,267",24.28
147,"105,268",24.31
148,"105,269",24.30
149,"105,270",24.44
150,"105,271",24.47
151,"105,272",24.36
152,"105,273",24.36
153,"105,274",24.36
154,"105,275",24.27
155,"105,276",24.38
156,"105,277",24.31
157,"105,278",24.37
158,"105,279",24.34
159,"105,280",24.31
160,"105,281",24.34
161,"105,282",24.19
162,"105,283",24.32
163,"105,284",24.36
164,"105,285",24.29
165,"105,286",24.39
166,"104,287",24.49
167,"104,288",24.37
168,"104,289",24.47
169,"104,290",24.50
170,"104,291",24.23
171,"104,292",24.23
172,"104,293",24.21
173,"104,294",24.28
174,"104,295",24.10
175,"104,296",24.41
176,"104,297",24.36
177,"104,298",24.23
178,"104,299",24.36
179,"104,300",24.12
180,"104,301",24.21
181,"104,302",24.28
182,"104,303",24.17
183,"104,304",24.34
184,"104,305",24.36
185,"104,306",24.23
186,"104,307",24.44
187,"103,308",24.26
188,"103,309",24.22
189,"103,310",24.36
190,"103,311",24.29
191,"103,312",24.29
192,"103,313",24.21
193,"103,314",24.30
194,"103,315",24.28
195,"103,316",24.31
196,"103,317",24.26
197,"103,318",24.32
198,"103,319",24.49
199,"103,320",24.37
200,"103,321",24.36
201,"103,322",24.36
202,"103,323",24.37
203,"103,324",24.41
204,"103,325",24.26
205,"103,326",24.32
206,"103,327",24.34
207,"102,328",24.37
208,"102,329",24.39
209,"102,330",24.04
210,"102,331",24.36
211,"102,332",24.40
212,"102,333",24.37
213,"102,334",24.34
214,"102,335",24.39
215,"102,336",24.52
216,"102,337",24.51
217,"102,338",24.36
218,"102,339",24.41
219,"102,340",24.52
220,"102,341",24.43
221,"102,342",24.58
222,"102,343",24.23
223,"102,344",24.28
224,"102,345",24.34
225,"102,346",24.30
226,"102,347",24.39
227,"102,348",24.40
228,"101,349",24.37
229,"101,350",24.37
230,"101,351",24.31
231,"101,352",24.42
232,"101,353",24.56
233,"101,354",24.43
234,"101,355",24.28
235,"101,356",24.40
236,"101,357",24.38
237,"101,358",24.19
238,"101,359",24.82
239,"101,360",24.38
240,"101,361",24.64
241,"101,362",24.52
242,"101,363",24.45
243,"101,364",24.55
244,"101,365",24.54
245,"101,366",24.45
246,"101,367",24.47
247,"101,368",24.49
248,"100,369",24.47
249,"100,370",24.45
250,"100,371",24.34
251,"100,372",24.50
252,"100,373",24.29
253,"100,374",24.42
254,"100,375",24.65
255,"100,376",24.30
256,"100,377",24.55
257,"100,378",24.31
258,"100,379",24.34
259,"100,380",24.48
260,"100,381",24.43
261,"100,382",24.54
262,"100,383",24.37
263,"100,384",24.42
264,"100,385",24.42
265,"100,386",24.30
266,"100,387",24.22
267,"100,388",24.41
268,"100,389",24.37
269,"99,390",24.49
270,"99,391",24.36
271,"99,392",24.44
272,"99,393",24.28
273,"99,394",24.36
274,"99,395",24.12
275,"99,396",24.36
276,"99,397",24.42
