Index,Kalibrierung,Messzeit,Messwert
0,Waseda_dry,2021-11-06 00:39:55,17.500000
1,Waseda_dry,2021-11-06 00:39:59,27.400000
2,Waseda_dry,2021-11-06 00:40:05,33.800000
3,Waseda_dry,2021-11-06 00:40:10,49.800000
4,Waseda_dry,2021-11-06 00:40:15,65.900000
5,Waseda_dry,2021-11-06 00:40:20,76.300000
6,Waseda_dry,2021-11-06 00:40:25,68.000000
7,Waseda_dry,2021-11-06 00:40:30,65.700000
8,Waseda_dry,2021-11-06 00:40:35,65.000000
9,Waseda_dry,2021-11-06 00:40:40,65.600000
10,Waseda_dry,2021-11-06 00:40:45,81.900000
11,Waseda_dry,2021-11-06 00:40:50,86.400000
12,Waseda_dry,2021-11-06 00:40:55,95.500000
13,Waseda_dry,2021-11-06 00:41:00,87.400000
14,Waseda_dry,2021-11-06 00:41:05,55.200000
15,Waseda_dry,2021-11-06 00:41:10,27.300000
16,Waseda_dry,2021-11-06 00:41:15,15.000000
