Index,Kalibrierung,Messzeit,Messwert
0,Waseda_dry,2021-11-06 01:17:59,33.200000
1,Waseda_dry,2021-11-06 01:18:04,34.600000
2,Waseda_dry,2021-11-06 01:18:09,30.900000
3,Waseda_dry,2021-11-06 01:18:14,46.800000
4,Waseda_dry,2021-11-06 01:18:19,59.800000
5,Waseda_dry,2021-11-06 01:18:24,69.500000
6,Waseda_dry,2021-11-06 01:18:29,52.900000
7,Waseda_dry,2021-11-06 01:18:34,55.800000
8,Waseda_dry,2021-11-06 01:18:39,58.400000
9,Waseda_dry,2021-11-06 01:18:44,61.500000
10,Waseda_dry,2021-11-06 01:18:49,74.100000
11,Waseda_dry,2021-11-06 01:18:54,80.400000
12,Waseda_dry,2021-11-06 01:18:59,87.500000
13,Waseda_dry,2021-11-06 01:19:04,83.000000
14,Waseda_dry,2021-11-06 01:19:09,57.300000
15,Waseda_dry,2021-11-06 01:19:14,26.000000
16,Waseda_dry,2021-11-06 01:19:19,18.000000
