Index,Kalibrierung,Messzeit,Messwert
0,Waseda_dry,2021-11-06 01:31:35,36.500000
1,Waseda_dry,2021-11-06 01:31:40,33.200000
2,Waseda_dry,2021-11-06 01:31:45,38.300000
3,Waseda_dry,2021-11-06 01:31:50,47.700000
4,Waseda_dry,2021-11-06 01:31:55,58.900000
5,Waseda_dry,2021-11-06 01:32:00,66.300000
6,Waseda_dry,2021-11-06 01:32:05,61.700000
7,Waseda_dry,2021-11-06 01:32:10,57.600000
8,Waseda_dry,2021-11-06 01:32:15,56.100000
9,Waseda_dry,2021-11-06 01:32:20,54.700000
10,Waseda_dry,2021-11-06 01:32:25,69.400000
11,Waseda_dry,2021-11-06 01:32:30,76.000000
12,Waseda_dry,2021-11-06 01:32:35,90.000000
13,Waseda_dry,2021-11-06 01:32:40,80.100000
14,Waseda_dry,2021-11-06 01:32:45,46.300000
15,Waseda_dry,2021-11-06 01:32:50,34.000000
16,Waseda_dry,2021-11-06 01:32:55,21.100000
