Index,Kalibrierung,Messzeit,Messwert
0,Waseda_dry,2021/11/6 23:57,37.4
1,Waseda_dry,2021/11/6 23:58,15.6
2,Waseda_dry,2021/11/6 23:58,19.1
3,Waseda_dry,2021/11/6 23:58,33.4
4,Waseda_dry,2021/11/6 23:58,45.9
5,Waseda_dry,2021/11/6 23:58,53.2
6,Waseda_dry,2021/11/6 23:58,43.4
7,Waseda_dry,2021/11/6 23:58,44.7
8,Waseda_dry,2021/11/6 23:58,41.1
9,Waseda_dry,2021/11/6 23:58,46.3
10,Waseda_dry,2021/11/6 23:58,56.8
11,Waseda_dry,2021/11/6 23:58,60.9
12,Waseda_dry,2021/11/6 23:58,73.9
13,Waseda_dry,2021/11/6 23:59,67
14,Waseda_dry,2021/11/6 23:59,35.6
15,Waseda_dry,2021/11/6 23:59,16.1
16,Waseda_dry,2021/11/6 23:59,22.8
,,,
,,,
,,,
