Index,Kalibrierung,Messzeit,Messwert
0,Waseda_dry,2021/11/10 3:57,42.2
1,Waseda_dry,2021/11/10 3:57,24.3
2,Waseda_dry,2021/11/10 3:58,17.2
3,Waseda_dry,2021/11/10 3:58,31.5
4,Waseda_dry,2021/11/10 3:58,39.3
5,Waseda_dry,2021/11/10 3:58,51.8
6,Waseda_dry,2021/11/10 3:58,44.6
7,Waseda_dry,2021/11/10 3:58,44.3
8,Waseda_dry,2021/11/10 3:58,41.9
9,Waseda_dry,2021/11/10 3:58,41.3
10,Waseda_dry,2021/11/10 3:58,52.9
11,Waseda_dry,2021/11/10 3:58,59
12,Waseda_dry,2021/11/10 3:58,71.8
13,Waseda_dry,2021/11/10 3:58,58.2
14,Waseda_dry,2021/11/10 3:59,39.8
15,Waseda_dry,2021/11/10 3:59,14.8
16,Waseda_dry,2021/11/10 3:59,27
,,,
,,,
,,,
