Index,Kalibrierung,Messzeit,Messwert
0,Waseda_dry,2021-11-06 00:53:45,39.000000
1,Waseda_dry,2021-11-06 00:53:50,32.600000
2,Waseda_dry,2021-11-06 00:53:55,34.400000
3,Waseda_dry,2021-11-06 00:54:00,46.200000
4,Waseda_dry,2021-11-06 00:54:05,57.800000
5,Waseda_dry,2021-11-06 00:54:10,69.300000
6,Waseda_dry,2021-11-06 00:54:15,62.300000
7,Waseda_dry,2021-11-06 00:54:20,59.700000
8,Waseda_dry,2021-11-06 00:54:25,62.400000
9,Waseda_dry,2021-11-06 00:54:30,62.400000
10,Waseda_dry,2021-11-06 00:54:35,73.400000
11,Waseda_dry,2021-11-06 00:54:40,84.300000
12,Waseda_dry,2021-11-06 00:54:45,89.900000
13,Waseda_dry,2021-11-06 00:54:50,86.200000
14,Waseda_dry,2021-11-06 00:54:55,64.400000
15,Waseda_dry,2021-11-06 00:55:00,37.200000
16,Waseda_dry,2021-11-06 00:55:05,25.000000
