Index,Kalibrierung,Messzeit,Messwert
0,Waseda_dry,2021/11/10 4:01,15.2
1,Waseda_dry,2021/11/10 4:01,32.3
2,Waseda_dry,2021/11/10 4:01,25.7
3,Waseda_dry,2021/11/10 4:01,31.4
4,Waseda_dry,2021/11/10 4:01,41
5,Waseda_dry,2021/11/10 4:01,48.3
6,Waseda_dry,2021/11/10 4:01,40.3
7,Waseda_dry,2021/11/10 4:01,35.5
8,Waseda_dry,2021/11/10 4:02,38.2
9,Waseda_dry,2021/11/10 4:02,40.8
10,Waseda_dry,2021/11/10 4:02,53.1
11,Waseda_dry,2021/11/10 4:02,59
12,Waseda_dry,2021/11/10 4:02,70.4
13,Waseda_dry,2021/11/10 4:02,60.1
14,Waseda_dry,2021/11/10 4:02,38.1
15,Waseda_dry,2021/11/10 4:02,18.5
16,Waseda_dry,2021/11/10 4:02,11.9
