Index,Kalibrierung,Messzeit,Messwert
0,Waseda_dry,2021-11-06 00:23:50,26.200000
1,Waseda_dry,2021-11-06 00:23:55,15.700000
2,Waseda_dry,2021-11-06 00:24:00,27.300000
3,Waseda_dry,2021-11-06 00:24:05,54.200000
4,Waseda_dry,2021-11-06 00:24:10,71.100000
5,Waseda_dry,2021-11-06 00:24:15,90.600000
6,Waseda_dry,2021-11-06 00:24:20,83.300000
7,Waseda_dry,2021-11-06 00:24:25,78.700000
8,Waseda_dry,2021-11-06 00:24:30,77.700000
9,Waseda_dry,2021-11-06 00:24:35,82.500000
10,Waseda_dry,2021-11-06 00:24:40,99.700000
11,Waseda_dry,2021-11-06 00:24:45,107.300000
12,Waseda_dry,2021-11-06 00:24:50,113.600000
13,Waseda_dry,2021-11-06 00:24:55,100.600000
14,Waseda_dry,2021-11-06 00:25:00,65.300000
15,Waseda_dry,2021-11-06 00:25:05,28.300000
16,Waseda_dry,2021-11-06 00:25:10,23.200000
