Index,Kalibrierung,Messzeit,Messwert
0,Waseda_dry,2021-11-06 00:51:30,46.500000
1,Waseda_dry,2021-11-06 00:51:35,37.000000
2,Waseda_dry,2021-11-06 00:51:40,39.600000
3,Waseda_dry,2021-11-06 00:51:45,43.400000
4,Waseda_dry,2021-11-06 00:51:50,57.300000
5,Waseda_dry,2021-11-06 00:51:55,70.400000
6,Waseda_dry,2021-11-06 00:52:00,59.800000
7,Waseda_dry,2021-11-06 00:52:05,61.900000
8,Waseda_dry,2021-11-06 00:52:10,64.600000
9,Waseda_dry,2021-11-06 00:52:15,65.700000
10,Waseda_dry,2021-11-06 00:52:20,78.900000
11,Waseda_dry,2021-11-06 00:52:25,87.200000
12,Waseda_dry,2021-11-06 00:52:30,90.400000
13,Waseda_dry,2021-11-06 00:52:35,88.500000
14,Waseda_dry,2021-11-06 00:52:40,50.300000
15,Waseda_dry,2021-11-06 00:52:45,35.700000
16,Waseda_dry,2021-11-06 00:52:50,39.700000
